Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer(s)
1,What translation changes y=x^2 to y=(x+3)^2-2?,"3 right, 2 down","3 left, 2 down","3 left, 2 up","3 right, 2 up",2
2,What translation changes y=x^2 to y=(x-4)^2+1?,"4 left, 1 up","4 right, 1 down","4 left, 1 down","4 right, 1 up",4
3,What translation changes y=|x| to y=|x+2|+5?,"2 left, 5 up","2 right, 5 up","2 left, 5 down","5 left, 2 up",1
4,What translation changes y=|x| to y=|x-1|-3?,"1 left, 3 down","1 right, 3 up","1 right, 3 down","3 right, 1 down",3
5,Which equation shifts y=x^2 right 2 and up 4?,y=(x+2)^2+4,y=(x-2)^2+4,y=(x-2)^2-4,y=(x+4)^2-2,2
6,Which equation shifts y=x^2 left 5 and down 1?,y=(x+5)^2-1,y=(x-5)^2-1,y=(x+5)^2+1,y=(x-1)^2+5,1
7,Which equation shifts y=|x| right 3 and down 2?,y=|x+3|-2,y=|x-3|+2,y=|x-2|-3,y=|x-3|-2,4
8,Which equation shifts y=|x| left 4 and up 2?,y=|x-4|+2,y=|x+4|-2,y=|x+4|+2,y=|x+2|+4,3
9,"The vertex (0,0) shifts right 6 and down 3. New vertex?","(6,-3)","(-6,-3)","(6,3)","(-3,6)",1
10,"The point (1,1) shifts left 2 and up 4. New point?","(3,5)","(-1,5)","(-1,-3)","(5,-1)",2
11,"For y=(x+7)^2, which direction is the horizontal shift?",right 7,up 7,down 7,left 7,4
12,"For y=(x-3)^2-5, which direction is the vertical shift?",down 5,up 5,right 5,left 5,1
13,A student says y=(x+2)^2 moves right 2. What is the correction?,right 2,up 2,left 2,down 2,3
14,A student says y=|x-6| moves left 6. What is the correction?,left 6,up 6,down 6,right 6,4
15,Changing y=(x-1)^2+4 to y=(x-1)^2-2 moves the graph how?,up 6,down 6,right 6,left 6,2
16,Changing y=|x+2|+1 to y=|x+5|+1 moves the graph how?,right 3,up 3,left 3,down 3,3
17,What is the vertex of y=(x-4)^2+3?,"(4,3)","(-4,3)","(4,-3)","(-3,4)",1
18,What is the vertex of y=|x+1|-5?,"(1,-5)","(-1,5)","(-5,-1)","(-1,-5)",4
19,Which parameter controls vertical movement in y=(x-h)^2+k?,h,k,the exponent 2,the x coefficient,2
20,Why does x+3 shift a graph left 3?,positive signs always mean left,the output is multiplied by 3,the input is zero at x=-3,the y-intercept becomes 3,3
