Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,2f(x),vertical stretch by 2,Not enough information,None of these,A different family/effect,20,1
2,0.5f(x),vertical compression by 1/2,Not enough information,None of these,A different family/effect,20,1
3,-f(x),reflect over x-axis,Not enough information,None of these,A different family/effect,20,1
4,-3f(x),reflect and stretch by 3,Not enough information,None of these,A different family/effect,20,1
5,Vertical scaling changes,outputs,Not enough information,None of these,A different family/effect,20,1
6,Negative outside factor,reflection over x-axis,Not enough information,None of these,A different family/effect,20,1
7,Magnitude >1,vertical stretch,Not enough information,None of these,A different family/effect,20,1
8,Magnitude between 0 and 1,vertical compression,Not enough information,None of these,A different family/effect,20,1
9,2f(x)+3,stretch 2 then up 3,Not enough information,None of these,A different family/effect,20,1
10,f(x-4),right 4,Not enough information,None of these,A different family/effect,20,1
11,All key points,follow same transformation rule,Not enough information,None of these,A different family/effect,20,1
12,Wider quadratic from vertical scale,compression,Not enough information,None of these,A different family/effect,20,1
13,Narrower quadratic,stretch,Not enough information,None of these,A different family/effect,20,1
14,Same transformation check,graph table equation agree,Not enough information,None of these,A different family/effect,20,1
15,Output multiplier -2,reflect and double y-values,Not enough information,None of these,A different family/effect,20,1
16,Parameter sequence,read scale reflection and shifts,Not enough information,None of these,A different family/effect,20,1
17,Transformation equation,encodes feature changes,Not enough information,None of these,A different family/effect,20,1
18,Do not transform,only the vertex,Not enough information,None of these,A different family/effect,20,1
19,2f(x),vertical stretch by 2,Not enough information,None of these,A different family/effect,20,1
20,0.5f(x),vertical compression by 1/2,Not enough information,None of these,A different family/effect,20,1
