Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Vertex form,reveals vertex directly,Not enough information,None of these,A different family/effect,20,1
2,Factored form,reveals zeros directly,Not enough information,None of these,A different family/effect,20,1
3,Standard form,reveals y-intercept directly,Not enough information,None of these,A different family/effect,20,1
4,Axis of symmetry,vertical line through vertex,Not enough information,None of these,A different family/effect,20,1
5,Positive leading coefficient,opens up,Not enough information,None of these,A different family/effect,20,1
6,Negative leading coefficient,opens down,Not enough information,None of these,A different family/effect,20,1
7,Parabola,quadratic graph,Not enough information,None of these,A different family/effect,20,1
8,Zeros,x-intercepts,Not enough information,None of these,A different family/effect,20,1
9,Vertex,turning point,Not enough information,None of these,A different family/effect,20,1
10,Factored roots r1 r2,axis halfway between roots,Not enough information,None of these,A different family/effect,20,1
11,Table symmetry,supports axis/vertex,Not enough information,None of these,A different family/effect,20,1
12,(x-3)^2+2 vertex,"(3,2)",Not enough information,None of these,A different family/effect,20,1
13,(x+1)(x-5) zeros,-1 and 5,Not enough information,None of these,A different family/effect,20,1
14,Equivalent forms,same quadratic graph,Not enough information,None of these,A different family/effect,20,1
15,Constant term standard form,y-intercept,Not enough information,None of these,A different family/effect,20,1
16,Do not confuse vertex with,intercept,Not enough information,None of these,A different family/effect,20,1
17,Quadratic context maximum,vertex if opens down,Not enough information,None of these,A different family/effect,20,1
18,Graph feature claim,must be supported by expression form/evidence,Not enough information,None of these,A different family/effect,20,1
19,Vertex form,reveals vertex directly,Not enough information,None of these,A different family/effect,20,1
20,Factored form,reveals zeros directly,Not enough information,None of these,A different family/effect,20,1
