Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer(s)
1,Which family best matches y=2x-7?,quadratic,linear,exponential,absolute value,2
2,Which family best matches y=x^2+4?,linear,exponential,absolute value,quadratic,4
3,Which family best matches y=3(2)^x?,exponential,linear,quadratic,absolute value,1
4,Which family best matches y=|x-5|+1?,linear,quadratic,absolute value,exponential,3
5,A table has constant first differences. Which family is most strongly supported?,quadratic,linear,exponential,absolute value,2
6,A table has constant second differences. Which family is most strongly supported?,quadratic,linear,exponential,absolute value,1
7,A table has a constant ratio of 3. Which family is most strongly supported?,linear,quadratic,absolute value,exponential,4
8,A graph is V-shaped with a sharp corner. Which family?,linear,quadratic,absolute value,exponential,3
9,A graph is a straight line. Which family?,linear,quadratic,exponential,absolute value,1
10,A graph is a smooth U-shape with one minimum. Which family?,linear,quadratic,exponential,absolute value,2
11,"A graph increases slowly, then much more steeply. Which family is most likely?",linear,quadratic,absolute value,exponential,4
12,Which pattern distinguishes exponential from linear in a table?,constant ratio,constant first difference,constant second difference,mirror symmetry,1
13,Which pattern distinguishes quadratic from linear in equally spaced x-values?,constant ratio,constant first differences,constant second differences,alternating signs,3
14,Which visible feature distinguishes absolute value from quadratic near a minimum?,constant slope,horizontal asymptote,constant ratio,sharp corner,4
15,A quantity increases by 5 every hour. Which family is most natural?,quadratic,linear,exponential,absolute value,2
16,A quantity doubles every hour. Which family is most natural?,linear,quadratic,exponential,absolute value,3
17,"If a graph window looks almost linear but a table has ratio 2, which evidence is stronger?",the table ratio,the small graph window,the y-intercept alone,the x-axis label,1
18,Which equation is quadratic?,y=2x-3,y=2(3)^x,y=2|x|-3,y=2x^2-3,4
19,Which equation is exponential?,y=0.5x+4,y=4(0.5)^x,y=x^2+4,y=|x|+4,2
20,Which equation is absolute value?,y=3x+1,y=3x^2-2,y=3|x+1|-2,y=3(2)^x,3
