Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,"In y=12(1.5)^x, what is the initial value?",1.5,12,18.0,13.5,30,2
2,"In y=12(1.5)^x, what is the growth or decay factor?",1.5,12,0.5,-0.5,30,1
3,"In y=20(0.8)^x, what is the initial value?",0.8,16.0,20.8,20,30,4
4,"In y=20(0.8)^x, what is the growth or decay factor?",20,-0.2,0.8,0.2,30,3
5,"In y=7(2)^x, what is the initial value?",2,7,14,9,30,2
6,"In y=7(2)^x, what is the growth or decay factor?",2,7,1,-1,30,1
7,"In y=30(0.6)^x, what is the initial value?",0.6,18.0,30.6,30,30,4
8,"In y=30(0.6)^x, what is the growth or decay factor?",30,-0.4,0.6,0.4,30,3
9,"In y=9(1.25)^x, what is the initial value?",1.25,9,11.25,10.25,30,2
10,"In y=9(1.25)^x, what is the growth or decay factor?",1.25,9,0.25,-0.25,30,1
11,A quantity starts at 100 and decreases by 10% each period. Which model fits?,100(0.1)^t,100(1.1)^t,100-10t,100(0.9)^t,30,4
12,A quantity starts at 250 and decreases by 20% each period. Which model fits?,250(0.2)^t,250(1.2)^t,250(0.8)^t,250-20t,30,3
13,A quantity starts at 80 and decreases by 25% each period. Which model fits?,80(0.25)^t,80(0.75)^t,80(1.25)^t,80-25t,30,2
14,A quantity starts at 600 and decreases by 15% each period. Which model fits?,600(0.85)^t,600(0.15)^t,600(1.15)^t,600-15t,30,1
15,A quantity starts at 40 and decreases by 30% each period. Which model fits?,40(0.3)^t,40(1.3)^t,40-30t,40(0.7)^t,30,4
16,A quantity starts at 50 and increases by 10% each period. Which model fits?,50(0.1)^t,50(0.95)^t,50(1.1)^t,50+10t,30,3
17,A quantity starts at 120 and increases by 25% each period. Which model fits?,120(0.25)^t,120(1.25)^t,120(0.875)^t,120+25t,30,2
18,A quantity starts at 300 and increases by 5% each period. Which model fits?,300(1.05)^t,300(0.05)^t,300(0.975)^t,300+5t,30,1
19,A quantity starts at 40 and increases by 50% each period. Which model fits?,40(0.5)^t,40(0.75)^t,40+50t,40(1.5)^t,30,4
20,A quantity starts at 200 and increases by 15% each period. Which model fits?,200(0.15)^t,200(0.925)^t,200(1.15)^t,200+15t,30,3
