q_id,artifact_type,artifact_unit,artifact_section,artifact_day,artifact_slot,usage_type,combine_with
U7-S1-DOK1.01,summative,unit7,7.1,-,target1 V1-4,number-swap,
U7-S1-DOK1.09,summative,unit7,7.1,-,target1 V5-6,reword,
U7-S1-DOK1.05,summative,unit7,7.1,-,target1 V7-8,switch-order,
U7-S1-DOK2.01,summative,unit7,7.1,-,target2 V1-4,number-swap,
U7-S1-DOK2.04,summative,unit7,7.1,-,target2 V5-6,reword,
U7-S1-DOK2.02,summative,unit7,7.1,-,target2 V7-8,switch-order,
U7-S2-DOK1.01,summative,unit7,7.2,-,target3 V1-4,number-swap,
U7-S2-DOK1.05,summative,unit7,7.2,-,target3 V5-6,reword,
U7-S2-DOK1.14,summative,unit7,7.2,-,target3 V7-8,switch-order,
U7-S2-DOK2.01,summative,unit7,7.2,-,target4 V1-4,number-swap,
U7-S2-DOK2.04,summative,unit7,7.2,-,target4 V5-6,reword,
U7-S2-DOK2.08,summative,unit7,7.2,-,target4 V7-8,switch-order,
U7-S3-DOK1.13,summative,unit7,7.3,-,target5 V1-4,number-swap,
U7-S3-DOK1.05,summative,unit7,7.3,-,target5 V5-6,reword,
U7-S3-DOK1.14,summative,unit7,7.3,-,target5 V7-8,switch-order,
U7-S3-DOK2.01,summative,unit7,7.3,-,target6 V1-4,number-swap,
U7-S3-DOK2.03,summative,unit7,7.3,-,target6 V5-6,reword,
U7-S3-DOK2.06,summative,unit7,7.3,-,target6 V7-8,switch-order,
U7-S4-DOK2.09,summative,unit7,7.4,-,target7 V1-4,number-swap,
U7-S4-DOK2.02,summative,unit7,7.4,-,target7 V5-6,reword,
U7-S4-DOK2.01,summative,unit7,7.4,-,target7 V7-8,switch-order,
U7-S4-DOK3.01,summative,unit7,7.4,-,target8 V1-4,number-swap,
U7-S4-DOK3.02,summative,unit7,7.4,-,target8 V5-6,reword,
U7-S4-DOK3.04,summative,unit7,7.4,-,target8 V7-8,switch-order,
U7-S5-DOK1.14,summative,unit7,7.5,-,target9 V1-4,number-swap,
U7-S5-DOK1.07,summative,unit7,7.5,-,target9 V5-6,reword,
U7-S5-DOK1.08,summative,unit7,7.5,-,target9 V7-8,switch-order,
U7-S5-DOK3.01,summative,unit7,7.5,-,target10 V1-4,number-swap,
U7-S5-DOK3.02,summative,unit7,7.5,-,target10 V5-6,reword,
U7-S5-DOK3.04,summative,unit7,7.5,-,target10 V7-8,switch-order,
