Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Constant rate of change suggests?,quadratic,linear,exponential,absolute value,20,2
2,Constant second differences suggest?,linear,exponential,absolute value,quadratic,20,4
3,Constant multiplication factor suggests?,exponential,linear,quadratic,absolute value,20,1
4,V-shaped graph suggests?,linear,quadratic,absolute value,exponential,20,3
5,y=9x-4 is which family?,quadratic,linear,exponential,absolute value,20,2
6,y=(x-2)²+1 is which family?,quadratic,linear,exponential,absolute value,20,1
7,y=5(3^x) is which family?,linear,quadratic,absolute value,exponential,20,4
8,Which rate is greater?,4,-2,6,0,20,3
9,Same slope and same y-intercept means linear relationships are?,same,always different,perpendicular,nonlinear,20,1
10,A starts at 12 B starts at 3. Which starts higher?,B,same,cannot tell,A,20,4
11,"Rate from (1,5) to (5,17)?",4,3,12,2,20,2
12,A rate -4 means outputs?,increase 4,stay same,decrease 4 per +1 x,double,20,3
13,To compare a table and equation first compare?,font size,number of rows,variable letters only,values and rates,20,4
14,"Slope through (0,-1) and (4,11)?",3,2,4,-3,20,1
15,Table Δx=3 and Δy=-6 gives slope?,2,-3,-2,3,20,3
16,Slope of y=-5x+8?,5,-5,8,-8,20,2
17,Slope of 3x+y=9?,-3,3,9,-9,20,1
18,150 km in 3 h rate?,147 km/h,153 km/h,450 km/h,50 km/h,20,4
19,Drops 12 units in 4 min rate?,3 per min,-3 per min,-8 per min,48 per min,20,2
20,Which is initial value in y=7x-2?,7,2,-2,-7,20,3
