q_id,artifact_type,artifact_unit,artifact_section,artifact_day,artifact_slot,usage_type,combine_with
6-S1-DOK1.01,summative,unit6,6.1,-,target1 V1-4,number-swap,
6-S1-DOK1.04,summative,unit6,6.1,-,target1 V5-6,reword,
6-S1-DOK1.06,summative,unit6,6.1,-,target1 V7-8,switch-order,
6-S1-DOK2.02,summative,unit6,6.1,-,target2 V1-4,number-swap,
6-S1-DOK2.06,summative,unit6,6.1,-,target2 V5-6,reword,
6-S1-DOK2.08,summative,unit6,6.1,-,target2 V7-8,switch-order,
6-S2-DOK1.01,summative,unit6,6.2,-,target3 V1-4,number-swap,
6-S2-DOK1.12,summative,unit6,6.2,-,target3 V5-6,reword,
6-S2-DOK1.07,summative,unit6,6.2,-,target3 V7-8,switch-order,
6-S2-DOK2.02,summative,unit6,6.2,-,target4 V1-4,number-swap,
6-S2-DOK2.06,summative,unit6,6.2,-,target4 V5-6,reword,
6-S2-DOK2.06,summative,unit6,6.2,-,target4 V7-8,switch-order,
6-S3-DOK1.01,summative,unit6,6.3,-,target5 V1-4,number-swap,
6-S3-DOK1.03,summative,unit6,6.3,-,target5 V5-6,reword,
6-S3-DOK1.11,summative,unit6,6.3,-,target5 V7-8,switch-order,
6-S3-DOK2.01,summative,unit6,6.3,-,target6 V1-4,number-swap,
6-S3-DOK2.02,summative,unit6,6.3,-,target6 V5-6,reword,
6-S3-DOK2.06,summative,unit6,6.3,-,target6 V7-8,switch-order,
6-S4-DOK2.05,summative,unit6,6.4,-,target7 V1-4,number-swap,
6-S4-DOK2.02,summative,unit6,6.4,-,target7 V5-6,reword,
6-S4-DOK2.06,summative,unit6,6.4,-,target7 V7-8,switch-order,
6-S4-DOK3.01,summative,unit6,6.4,-,target8 V1-4,number-swap,
6-S4-DOK3.03,summative,unit6,6.4,-,target8 V5-6,reword,
6-S4-DOK3.01,summative,unit6,6.4,-,target8 V7-8,switch-order,
6-S5-DOK1.06,summative,unit6,6.5,-,target9 V1-4,number-swap,
6-S5-DOK1.12,summative,unit6,6.5,-,target9 V5-6,reword,
6-S5-DOK1.01,summative,unit6,6.5,-,target9 V7-8,switch-order,
6-S5-DOK3.01,summative,unit6,6.5,-,target10 V1-4,number-swap,
6-S5-DOK3.01,summative,unit6,6.5,-,target10 V5-6,reword,
6-S5-DOK3.02,summative,unit6,6.5,-,target10 V7-8,switch-order,
