Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Equation for 6x+4=34 solves to?,4,5,6,30,20,2
2,Solve 5(x-1)=30,5,6,31,7,20,4
3,Best check for a solution?,substitute into original equation,change variable,erase units,round first,20,1
4,A $10 fee plus $3 per item rule?,C=10x+3,C=13x,C=3x+10,C=3(x+10),20,3
5,Meaning of x should be stated because?,it changes arithmetic,it gives context to the solution,it removes units,it makes any answer correct,20,2
6,Solve 2x+9=25,8,17,7,34,20,1
7,If 4 notebooks plus $6 costs $30 notebook price?,$4,$9,$24,$6,20,4
8,Which rate is larger 5 or 2?,2,-5,5,0,20,3
9,Same starting value different rates means same relationship?,No,Yes,Only sometimes,Only in tables,20,1
10,"Rate from (0,4) to (3,16)?",3,12,20,4,20,4
11,A has start 9 B start 2. Which starts higher?,B,A,same,cannot tell,20,2
12,A rate -2 means?,increases 2,stays same,decreases 2 per +1 x,doubles,20,3
13,Compare two relationships using?,colors,labels only,row counts,common values and rates,20,4
14,For y=6x-5 output at x=3?,13,18,23,-13,20,1
15,Rule triple input then subtract 8?,y=8x-3,y=3(x-8),y=3x-8,y=x-5,20,3
16,For y=5x+2 output 27 comes from input?,25,5,29,-5,20,2
17,For y=-2x+9 output at x=7?,-5,5,23,-23,20,1
18,Input -4 output 11 gives pair?,"(11,-4)","(4,11)","(-11,4)","(-4,11)",20,4
19,Build table from a rule means?,change rule each row,evaluate several inputs,use outputs as inputs always,ignore ordered pairs,20,2
20,If y=4x-1 and x=0 output?,0,1,-1,4,20,3
