Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,"In x+y=40 for ticket counts, 40 represents...",the total number of tickets,total revenue,ticket price,slope,20,1
2,"Before writing a system from a situation, first...",graph random lines,define the variables,choose an answer,ignore units,20,2
3,Two equations in a contextual system should represent...,the same constraint twice,two random equations,two distinct constraints,only slopes,20,3
4,"If x is adult tickets and y is student tickets, the first coordinate represents...",student tickets,total revenue,ticket price,adult tickets,20,4
5,A break-even point is where...,two modeled quantities are equal,both slopes are zero,there is no solution,x is always zero,20,1
6,A reasonable ticket-count solution should usually be...,negative decimals,nonnegative whole numbers,imaginary numbers,angles,20,2
7,"After solving a model, you should...",erase the variables,change the equations,interpret the ordered pair in context,ignore units,20,3
8,Which equation models 25 total items?,xy=25,x-y=25,x/y=25,x+y=25,20,4
9,Which equation models 8-dollar x-items and 5-dollar y-items totaling 170 dollars?,8x+5y=170,x+y=170,5x+8y=25,8+5=170,20,1
10,A solution should be verified against...,only the count constraint,both original constraints,only the money constraint,neither constraint,20,2
11,"If x+y=20 and 7x+3y=92, the variables should represent...",the two prices,the total only,the two item counts,the slopes,20,3
12,A table can help a system model by...,changing the context,removing variables,guaranteeing one solution,checking combinations against constraints,20,4
13,A contextual conclusion should include...,what both coordinates mean,only the x-coordinate,only a slope,a new unrelated formula,20,1
14,"If the algebra gives a negative number of tickets, the solution is...",automatically correct,not reasonable in context,a break-even point,always infinitely many,20,2
15,The equation x+y=18 is most naturally a...,price per item,slope formula,count constraint,quadratic model,20,3
16,The equation 12x+7y=151 is most naturally a...,count constraint,function-family label,test point,value constraint,20,4
17,Predicting solution meaning before solving helps you...,interpret the ordered pair correctly,avoid defining variables,make values random,skip checking,20,1
18,A model with one equation for two unknown counts is usually...,always enough,not enough to determine both values,a system already,an inequality only,20,2
19,"When two plans have equal cost at x=6, x=6 is the...",y-intercept,slope,break-even input,maximum,20,3
20,The final answer to a modeling problem should connect back to...,only symbolic work,a random graph,a different context,the original situation,20,4
