Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
1,Factor 6x + 9,3(2x+3),3(2x+9),1(6x+9),6(x+3),1
2,Factor 12x + 18,6(2x+9),2(6x+9),12(x+3),6(2x+3),4
3,Factor 18x + 27,3(6x+9),18(x+3),9(2x+3),9(2x+9),3
4,Factor 24x + 36,24(x+3),12(2x+3),12(2x+9),4(6x+9),2
5,Factor 30x + 45,15(2x+3),15(2x+9),5(6x+9),30(x+3),1
6,Factor 36x + 54,18(2x+9),6(6x+9),36(x+3),18(2x+3),4
7,Factor 42x + 63,7(6x+9),42(x+3),21(2x+3),21(2x+9),3
8,Factor 48x + 72,48(x+3),24(2x+3),24(2x+9),8(6x+9),2
9,Factor 54x + 81,27(2x+3),27(2x+9),9(6x+9),54(x+3),1
10,Factor 60x + 90,30(2x+9),10(6x+9),60(x+3),30(2x+3),4
11,GCF of 8x^2 and 12x,4x^2,8x,4x,2x,3
12,GCF of 16x^2 and 24x,16x,8x,4x,8x^2,2
13,GCF of 24x^2 and 36x,12x,6x,12x^2,24x,1
14,GCF of 32x^2 and 48x,8x,16x^2,32x,16x,4
15,GCF of 40x^2 and 60x,20x^2,40x,20x,10x,3
16,GCF of 48x^2 and 72x,48x,24x,12x,24x^2,2
17,GCF of 56x^2 and 84x,28x,14x,28x^2,56x,1
18,GCF of 64x^2 and 96x,16x,32x^2,64x,32x,4
19,GCF of 72x^2 and 108x,36x^2,72x,36x,18x,3
20,GCF of 80x^2 and 120x,80x,40x,20x,40x^2,2
