Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
1,Factor x^2 - 4,(x-2)(x+2),(x-2)^2,(x+2)^2,(x-4)(x+1),1
2,Factor x^2 - 9,(x-3)^2,(x+3)^2,(x-9)(x+1),(x-3)(x+3),4
3,Factor x^2 - 16,(x+4)^2,(x-16)(x+1),(x-4)(x+4),(x-4)^2,3
4,Factor x^2 - 25,(x-25)(x+1),(x-5)(x+5),(x-5)^2,(x+5)^2,2
5,Factor x^2 - 36,(x-6)(x+6),(x-6)^2,(x+6)^2,(x-36)(x+1),1
6,Factor x^2 - 49,(x-7)^2,(x+7)^2,(x-49)(x+1),(x-7)(x+7),4
7,Factor x^2 - 64,(x+8)^2,(x-64)(x+1),(x-8)(x+8),(x-8)^2,3
8,Factor x^2 - 81,(x-81)(x+1),(x-9)(x+9),(x-9)^2,(x+9)^2,2
9,Factor x^2 - 100,(x-10)(x+10),(x-10)^2,(x+10)^2,(x-100)(x+1),1
10,Factor x^2 - 121,(x-11)^2,(x+11)^2,(x-121)(x+1),(x-11)(x+11),4
11,Factor x^2 + 4x + 4,(x+2)(x-2),(x+4)^2,(x+2)^2,(x-2)^2,3
12,Factor x^2 + 6x + 9,(x+6)^2,(x+3)^2,(x-3)^2,(x+3)(x-3),2
13,Factor x^2 + 8x + 16,(x+4)^2,(x-4)^2,(x+4)(x-4),(x+8)^2,1
14,Factor x^2 + 10x + 25,(x-5)^2,(x+5)(x-5),(x+10)^2,(x+5)^2,4
15,Factor x^2 + 12x + 36,(x+6)(x-6),(x+12)^2,(x+6)^2,(x-6)^2,3
16,Factor x^2 + 14x + 49,(x+14)^2,(x+7)^2,(x-7)^2,(x+7)(x-7),2
17,Factor x^2 + 16x + 64,(x+8)^2,(x-8)^2,(x+8)(x-8),(x+16)^2,1
18,Factor x^2 + 18x + 81,(x-9)^2,(x+9)(x-9),(x+18)^2,(x+9)^2,4
19,Factor x^2 + 20x + 100,(x+10)(x-10),(x+20)^2,(x+10)^2,(x-10)^2,3
20,Factor x^2 + 22x + 121,(x+22)^2,(x+11)^2,(x-11)^2,(x+11)(x-11),2
