"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Time Limit (sec) (Max: 300 seconds),Correct Answer(s) (Only include Answer #)
1,"Which form would reveal the vertex most directly for a quadratic with vertex $(8,2)$: standard, factored, or vertex form? Write a matching vertex-form equation with leading coefficient 1.",Vertex form; $y=(x-8)^2+2$.,standard form,factored form,all forms reveal the vertex equally directly,45,1
2,"Which form would reveal the vertex most directly for a quadratic with vertex $(6,9)$: standard, factored, or vertex form? Write a matching vertex-form equation with leading coefficient 1.",standard form,Vertex form; $y=(x-6)^2+9$.,factored form,all forms reveal the vertex equally directly,45,2
3,"Which form would reveal the vertex most directly for a quadratic with vertex $(4,-8)$: standard, factored, or vertex form? Write a matching vertex-form equation with leading coefficient 1.",standard form,factored form,Vertex form; $y=(x-4)^2-8$.,all forms reveal the vertex equally directly,45,3
4,"Which form would reveal the vertex most directly for a quadratic with vertex $(6,-6)$: standard, factored, or vertex form? Write a matching vertex-form equation with leading coefficient 1.",standard form,factored form,all forms reveal the vertex equally directly,Vertex form; $y=(x-6)^2-6$.,45,4
5,"Which form would reveal the vertex most directly for a quadratic with vertex $(6,8)$: standard, factored, or vertex form? Write a matching vertex-form equation with leading coefficient 1.",standard form,Vertex form; $y=(x-6)^2+8$.,factored form,all forms reveal the vertex equally directly,45,2
6,"Which form would reveal the vertex most directly for a quadratic with vertex $(5,12)$: standard, factored, or vertex form? Write a matching vertex-form equation with leading coefficient 1.",standard form,factored form,Vertex form; $y=(x-5)^2+12$.,all forms reveal the vertex equally directly,45,3
7,"Which form would reveal the vertex most directly for a quadratic with vertex $(-3,-8)$: standard, factored, or vertex form? Write a matching vertex-form equation with leading coefficient 1.",standard form,factored form,all forms reveal the vertex equally directly,Vertex form; $y=(x+3)^2-8$.,45,4
8,"Which form would reveal the vertex most directly for a quadratic with vertex $(4,1)$: standard, factored, or vertex form? Write a matching vertex-form equation with leading coefficient 1.",Vertex form; $y=(x-4)^2+1$.,standard form,factored form,all forms reveal the vertex equally directly,45,1
9,"Which form would reveal the vertex most directly for a quadratic with vertex $(3,4)$: standard, factored, or vertex form? Write a matching vertex-form equation with leading coefficient 1.",standard form,factored form,Vertex form; $y=(x-3)^2+4$.,all forms reveal the vertex equally directly,45,3
10,"Which form would reveal the vertex most directly for a quadratic with vertex $(-4,5)$: standard, factored, or vertex form? Write a matching vertex-form equation with leading coefficient 1.",standard form,factored form,all forms reveal the vertex equally directly,Vertex form; $y=(x+4)^2+5$.,45,4
11,"Start with $y=|x|$. Describe the transformations that produce $y=-2|x-9|+0$, including the effect of the outside factor.","Shift horizontally by 9 unit(s) right, shift 0 unit(s) none, and apply an outside factor of -2.",horizontal shift only,vertical shift only,reflection only,45,1
12,"Start with $y=2^x$. Describe the transformations that produce $y=4(2^(x+6))+12$, including the effect of the outside factor.",horizontal shift only,"Shift horizontally by 6 unit(s) left, shift 12 unit(s) up, and apply an outside factor of 4.",vertical shift only,reflection only,45,2
13,"Start with $y=2^x$. Describe the transformations that produce $y=4(2^(x-3))+4$, including the effect of the outside factor.",horizontal shift only,vertical shift only,reflection only,"Shift horizontally by 3 unit(s) right, shift 4 unit(s) up, and apply an outside factor of 4.",45,4
14,"Start with $y=x^2$. Describe the transformations that produce $y=2(x+4)^2-2$, including the effect of the outside factor.","Shift horizontally by 4 unit(s) left, shift 2 unit(s) down, and apply an outside factor of 2.",horizontal shift only,vertical shift only,reflection only,45,1
15,"Start with $y=x^2$. Describe the transformations that produce $y=2(x-9)^2+7$, including the effect of the outside factor.",horizontal shift only,"Shift horizontally by 9 unit(s) right, shift 7 unit(s) up, and apply an outside factor of 2.",vertical shift only,reflection only,45,2
16,"Consider $x+y\le 39$, $x\ge 10$, and $y\ge 2$. Is $(29,10)$ feasible? Explain which constraints are satisfied.",No; it violates the total constraint,No; it violates the x constraint,Feasible; $x+y=39$ with lower bounds $x\ge 10$ and $y\ge 2$.,No; it violates the y constraint,45,3
17,"Consider $x+y\le 31$, $x\ge 12$, and $y\ge 12$. Is $(15,16)$ feasible? Explain which constraints are satisfied.",Feasible; $x+y=31$ with lower bounds $x\ge 12$ and $y\ge 12$.,No; it violates the total constraint,No; it violates the x constraint,No; it violates the y constraint,45,1
18,"Consider $x+y\le 31$, $x\ge 12$, and $y\ge 12$. Is $(16,15)$ feasible? Explain which constraints are satisfied.",No; it violates the total constraint,No; it violates the x constraint,Feasible; $x+y=31$ with lower bounds $x\ge 12$ and $y\ge 12$.,No; it violates the y constraint,45,3
19,"Consider $x+y\le 21$, $x\ge 8$, and $y\ge 7$. Is $(14,7)$ feasible? Explain which constraints are satisfied.",No; it violates the total constraint,Feasible; $x+y=21$ with lower bounds $x\ge 8$ and $y\ge 7$.,No; it violates the x constraint,No; it violates the y constraint,45,2
20,"Consider $x+y\le 14$, $x\ge 9$, and $y\ge 3$. Is $(10,4)$ feasible? Explain which constraints are satisfied.",No; it violates the total constraint,No; it violates the x constraint,No; it violates the y constraint,Feasible; $x+y=14$ with lower bounds $x\ge 9$ and $y\ge 3$.,45,4
