Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
1,Vertex of y=(x-1)^2-3,"(1, -3)","(-1, -3)","(1, 3)","(-1, 3)",1
2,Vertex of y=(x-2)^2-4,"(-2, -4)","(2, 4)","(-2, 4)","(2, -4)",4
3,Vertex of y=(x-3)^2-5,"(3, 5)","(-3, 5)","(3, -5)","(-3, -5)",3
4,Vertex of y=(x-4)^2-6,"(-4, 6)","(4, -6)","(-4, -6)","(4, 6)",2
5,Vertex of y=(x-5)^2-7,"(5, -7)","(-5, -7)","(5, 7)","(-5, 7)",1
6,Vertex of y=(x-6)^2-8,"(-6, -8)","(6, 8)","(-6, 8)","(6, -8)",4
7,Vertex of y=(x-7)^2-9,"(7, 9)","(-7, 9)","(7, -9)","(-7, -9)",3
8,Vertex of y=(x-8)^2-10,"(-8, 10)","(8, -10)","(-8, -10)","(8, 10)",2
9,Vertex of y=(x-9)^2-11,"(9, -11)","(-9, -11)","(9, 11)","(-9, 11)",1
10,Vertex of y=(x-10)^2-12,"(-10, -12)","(10, 12)","(-10, 12)","(10, -12)",4
11,Which form most directly shows zeros -1 and 5?,Standard form,A table only,Factored form,Vertex form,3
12,Which form most directly shows zeros -2 and 6?,A table only,Factored form,Vertex form,Standard form,2
13,Which form most directly shows zeros -3 and 7?,Factored form,Vertex form,Standard form,A table only,1
14,Which form most directly shows zeros -4 and 8?,Vertex form,Standard form,A table only,Factored form,4
15,Which form most directly shows zeros -5 and 9?,Standard form,A table only,Factored form,Vertex form,3
16,Which form most directly shows zeros -6 and 10?,A table only,Factored form,Vertex form,Standard form,2
17,Which form most directly shows zeros -7 and 11?,Factored form,Vertex form,Standard form,A table only,1
18,Which form most directly shows zeros -8 and 12?,Vertex form,Standard form,A table only,Factored form,4
19,Which form most directly shows zeros -9 and 13?,Standard form,A table only,Factored form,Vertex form,3
20,Which form most directly shows zeros -10 and 14?,A table only,Factored form,Vertex form,Standard form,2
