Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer(s)
1,What are the x-intercepts of y=(x-2)(x+3)?,-2 and 3,2 and -3,2 and 3,-2 and -3,2
2,What are the x-intercepts of y=(x+1)(x-5)?,1 and -5,1 and 5,-1 and -5,-1 and 5,4
3,Roots are -2 and 4. What is the axis of symmetry?,x=1,x=-1,x=2,x=3,1
4,Roots are 1 and 7. What is the axis of symmetry?,x=3,x=7,x=4,x=8,3
5,"For y=x^2-4x+3, what is the y-intercept?","(3,0)","(0,3)","(0,-4)","(4,0)",2
6,"For y=-2x^2+x+5, how does the parabola open?",downward,upward,left,right,1
7,"For y=3x^2-2x-1, how does the parabola open?",downward,left,right,upward,4
8,What is the vertex of y=(x-3)^2-4?,"(-3,-4)","(3,4)","(3,-4)","(-4,3)",3
9,What is the vertex of y=-(x+2)^2+5?,"(-2,5)","(2,5)","(-2,-5)","(5,-2)",1
10,A table is symmetric about x=2 and has minimum y=-1. What is the vertex?,"(-2,-1)","(2,-1)","(2,1)","(-1,2)",2
11,A table is symmetric about x=-3 and has maximum y=4. What is the vertex?,"(3,4)","(-3,-4)","(4,-3)","(-3,4)",4
12,"In standard form ax^2+bx+c, which value gives the y-intercept?",c,a,b,-b/a,1
13,"In factored form, which feature is most directly visible?",vertex y-value,y-intercept only,x-intercepts,direction of opening only,3
14,What determines whether a parabola opens up or down?,constant term,sum of roots,y-intercept,sign of the leading coefficient,4
15,How do two x-intercepts determine the axis of symmetry?,add them without dividing,take their midpoint,multiply them,use the larger root,2
16,Is the constant term always the vertex y-value?,yes,only for factored form,no,only when the graph opens down,3
17,"For y=(x+2)(x-4), what is the axis of symmetry?",x=1,x=-1,x=2,x=4,1
18,"For y=x^2+6x+8, what is the y-intercept?","(8,0)","(0,6)","(-6,0)","(0,8)",4
19,A quadratic has leading coefficient -3. What can you predict immediately?,its vertex is -3,it opens downward,its y-intercept is -3,its roots are 3 and -3,2
20,A quadratic has roots -1 and 5. What is its axis of symmetry?,x=-2,x=3,x=2,x=4,3
