Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Solutions of (x-2)(x+3)=0,-2 and 3,2 and -3,2 and 3,-2 and -3,30,2
2,Solutions of (x-3)(x+4)=0,-3 and 4,3 and 4,3 and -4,-3 and -4,30,3
3,Solutions of (x-4)(x+5)=0,-4 and 5,4 and 5,-4 and -5,4 and -5,30,4
4,Solutions of (x-5)(x+2)=0,5 and -2,-5 and 2,5 and 2,-5 and -2,30,1
5,Solutions of (x-1)(x+3)=0,-1 and 3,1 and -3,1 and 3,-1 and -3,30,2
6,Solutions of (x-2)(x+4)=0,-2 and 4,2 and 4,2 and -4,-2 and -4,30,3
7,Solutions of (x-3)(x+5)=0,-3 and 5,3 and 5,-3 and -5,3 and -5,30,4
8,Solutions of (x-4)(x+2)=0,4 and -2,-4 and 2,4 and 2,-4 and -2,30,1
9,Solutions of (x-5)(x+3)=0,-5 and 3,5 and -3,5 and 3,-5 and -3,30,2
10,Solutions of (x-1)(x+4)=0,-1 and 4,1 and 4,1 and -4,-1 and -4,30,3
11,Solutions of (x-2)(x+5)=0,-2 and 5,2 and 5,-2 and -5,2 and -5,30,4
12,Solutions of (x-3)(x+2)=0,3 and -2,-3 and 2,3 and 2,-3 and -2,30,1
13,Solutions of (x-4)(x+3)=0,-4 and 3,4 and -3,4 and 3,-4 and -3,30,2
14,Solutions of (x-5)(x+4)=0,-5 and 4,5 and 4,5 and -4,-5 and -4,30,3
15,Solutions of (x-1)(x+5)=0,-1 and 5,1 and 5,-1 and -5,1 and -5,30,4
16,Solutions of (x-2)(x+2)=0,2 and -2,-2 and 2,2 and 2,-2 and -2,30,1
17,Solutions of (x-3)(x+3)=0,-3 and 3,3 and -3,3 and 3,-3 and -3,30,2
18,Solutions of (x-4)(x+4)=0,-4 and 4,4 and 4,4 and -4,-4 and -4,30,3
19,Solutions of (x-5)(x+5)=0,-5 and 5,5 and 5,-5 and -5,5 and -5,30,4
20,Solutions of (x-1)(x+2)=0,1 and -2,-1 and 2,1 and 2,-1 and -2,30,1
