bank_id,section,destination,priority_phase,issue_category,issue_severity,original_status,repair_action,student_prompt_changed,answer_changed,figure_or_table_changed,metadata_changed,original_prompt_hash,final_prompt_hash,validation_method,final_status,notes
U2-REV-Q13,,Unit Review,6,generic_pseudocontext,MINOR,POLISH,Replaced generic service wording with a concrete context and synchronized the key.,true,true,false,true,6ad69c7e1cd23ad3dc013b413f565bd1f9e0ed757970a39893509fb4622f2605,8b70b4e7457600b60ec6f726947fdc6aab7951774ee3372d2c01203c02572f44,Final language/pseudocontext audit,PASS,
U2-S1-ET-A-M01,2.1,Exit Ticket A,5,formative_security_semantic_near_duplicate,MAJOR,REPLACE,"Re-architected formative-secure evidence while preserving Bank ID, Mastery Goal, and evidence point.",true,true,false,true,431e3a4cdb62726df70a429523d3ca34d7c6f1c085ffd8998fcd64da2af0e404,18d613ebdfb6267acf76a85e2f1954e0f394d28ee0bf11190ca6a8060da1ec89,"Semantic comparison across values, representation, reasoning action, context, and response type",PASS,
U2-S1-ET-B-M02,2.1,Exit Ticket B,5,formative_security_semantic_near_duplicate,MAJOR,REPLACE,"Re-architected formative-secure evidence while preserving Bank ID, Mastery Goal, and evidence point.",true,true,false,false,eec37d5dcd97dd18e5b95be1d8613983d6fa67e04253213f46bac27c9e767e82,45dab6c389601d64d9d732f4c76ad31267b535c5d8893bce79ebf80e099567b7,"Semantic comparison across values, representation, reasoning action, context, and response type",PASS,
U2-S1-PS1-I01,2.1,Practice Set 1,3,stale_variation_mode_metadata,MAJOR,REPAIR,Preserved legitimate routine parallel content and corrected variation_mode to routine procedural parallelism.,false,false,false,true,eff6792242c5b1bdce7e41515228064da849565313d17753bf47de709801d21f,eff6792242c5b1bdce7e41515228064da849565313d17753bf47de709801d21f,Question-family classification review,PASS,
U2-S1-PS1-I04,2.1,Practice Set 1,3,stale_variation_mode_metadata,MAJOR,REPAIR,Preserved legitimate routine parallel content and corrected variation_mode to routine procedural parallelism.,false,false,false,true,deba5e4c54cbf69326cc892ad1b0625f40dc30e80f5a11e7e85683a0dd007406,deba5e4c54cbf69326cc892ad1b0625f40dc30e80f5a11e7e85683a0dd007406,Question-family classification review,PASS,
U2-S1-PS1-I09,2.1,Practice Set 1,3,stale_variation_mode_metadata,MAJOR,REPAIR,Preserved legitimate routine parallel content and corrected variation_mode to routine procedural parallelism.,false,false,false,true,2bd877ed9996f6b20e6c0dc0994a2fb112a48aa405d819686a514798c114395d,2bd877ed9996f6b20e6c0dc0994a2fb112a48aa405d819686a514798c114395d,Question-family classification review,PASS,
U2-S1-PS1-M01,2.1,Practice Set 1,3,stale_variation_mode_metadata,MAJOR,REPAIR,Preserved legitimate routine parallel content and corrected variation_mode to routine procedural parallelism.,false,false,false,true,ecb22d1c1e848f8bb1509580b1860aad7db3c6d206cbc0dd896942723bdcafb0,ecb22d1c1e848f8bb1509580b1860aad7db3c6d206cbc0dd896942723bdcafb0,Question-family classification review,PASS,
U2-S1-PS1-M03,2.1,Practice Set 1,3,stale_variation_mode_metadata,MAJOR,REPAIR,Preserved legitimate routine parallel content and corrected variation_mode to routine procedural parallelism.,false,false,false,true,de21564a764f351c9283b315e4849a7464f7479d0126b34c8e0a33dcf868391c,de21564a764f351c9283b315e4849a7464f7479d0126b34c8e0a33dcf868391c,Question-family classification review,PASS,
U2-S1-PS1-M05,2.1,Practice Set 1,3,stale_variation_mode_metadata,MAJOR,REPAIR,Preserved legitimate routine parallel content and corrected variation_mode to routine procedural parallelism.,false,false,false,true,5c8a643921df56248582baa63cd3aa39c5258db19777e7749b794e06d0e9842b,5c8a643921df56248582baa63cd3aa39c5258db19777e7749b794e06d0e9842b,Question-family classification review,PASS,
U2-S1-PS1-R04,2.1,Practice Set 1,3,stale_variation_mode_metadata,MAJOR,REPAIR,Preserved legitimate routine parallel content and corrected variation_mode to routine procedural parallelism.,false,false,false,true,9b7fa846d1f4abbd87430450c066f2b151187b7f1995b6223e537c8c088f0626,9b7fa846d1f4abbd87430450c066f2b151187b7f1995b6223e537c8c088f0626,Question-family classification review,PASS,
U2-S1-PS2-I01,2.1,Practice Set 2,3,practice_family_fake_variety,MAJOR,REPLACE,"Introduced meaningful family-level variation in representation, reasoning direction, context, or misconception while preserving coverage and stable ID.",true,true,false,true,b1e2f588811b50228d2458deb7cdfec84f4d74307c67da83f5e0bc7310da603e,6aa2092a0228096ba1a266e97e034b638605197ab57f4a28482514cf88c88c5f,Four-form question-family semantic comparison against Spiral PM form-variety rule,PASS,
U2-S1-PS2-I04,2.1,Practice Set 2,3,stale_variation_mode_metadata,MAJOR,REPAIR,Preserved legitimate routine parallel content and corrected variation_mode to routine procedural parallelism.,false,false,false,true,95c430a59f3b8b2a0e110e231514f071164437f386062e72603f04bea6cbbf32,95c430a59f3b8b2a0e110e231514f071164437f386062e72603f04bea6cbbf32,Question-family classification review,PASS,
U2-S1-PS2-I05,2.1,Practice Set 2,3,stale_variation_mode_metadata,MAJOR,REPAIR,Preserved legitimate routine parallel content and corrected variation_mode to routine procedural parallelism.,false,false,false,true,8f0a03f9b619d2423f1832d2aadb16ef7fb8e2a1a297c9ae28e02c36a013b2b6,8f0a03f9b619d2423f1832d2aadb16ef7fb8e2a1a297c9ae28e02c36a013b2b6,Question-family classification review,PASS,
U2-S1-PS2-I08,2.1,Practice Set 2,3,stale_variation_mode_metadata,MAJOR,REPAIR,Preserved legitimate routine parallel content and corrected variation_mode to routine procedural parallelism.,false,false,false,true,0fd0d11c5c56a902b63a4b542bfb15ae3e429bfdc9b5a39b3b0926ec85be8aec,0fd0d11c5c56a902b63a4b542bfb15ae3e429bfdc9b5a39b3b0926ec85be8aec,Question-family classification review,PASS,
U2-S1-PS2-I09,2.1,Practice Set 2,3,practice_family_fake_variety,MAJOR,REPLACE,"Introduced meaningful family-level variation in representation, reasoning direction, context, or misconception while preserving coverage and stable ID.",true,true,false,true,4ddb35c9a648a59495eebfa7cf2570474925f1ae26992e94e3660ab639a51295,7c56d2b6a5188617cad8e8080abd657df4689918b691a34055cbf816b8e69779,Four-form question-family semantic comparison against Spiral PM form-variety rule,PASS,
U2-S1-PS2-M01,2.1,Practice Set 2,3,stale_variation_mode_metadata,MAJOR,REPAIR,Preserved legitimate routine parallel content and corrected variation_mode to routine procedural parallelism.,false,false,false,true,02a70b499207ad56134b998e75941654c3a7314b3a57baa4a416b81ef65b67e8,02a70b499207ad56134b998e75941654c3a7314b3a57baa4a416b81ef65b67e8,Question-family classification review,PASS,
U2-S1-PS2-M02,2.1,Practice Set 2,3,practice_family_fake_variety,MAJOR,REPLACE,"Introduced meaningful family-level variation in representation, reasoning direction, context, or misconception while preserving coverage and stable ID.",true,true,false,true,dad34fdf5cd7ef382457f97b0b9a0c675a8b6972b077794acc84bcc461bfef15,50d26bc932bcacf0a78286c7cd50594a2986dbba49203fa00a1000dc5a595dba,Four-form question-family semantic comparison against Spiral PM form-variety rule,PASS,
U2-S1-PS2-M03,2.1,Practice Set 2,3,stale_variation_mode_metadata,MAJOR,REPAIR,Preserved legitimate routine parallel content and corrected variation_mode to routine procedural parallelism.,false,false,false,true,8a142f979784a2d83c02ff097f2d8e24bdb53a867ac40057484343a38cdd977a,8a142f979784a2d83c02ff097f2d8e24bdb53a867ac40057484343a38cdd977a,Question-family classification review,PASS,
U2-S1-PS2-M05,2.1,Practice Set 2,3,stale_variation_mode_metadata,MAJOR,REPAIR,Preserved legitimate routine parallel content and corrected variation_mode to routine procedural parallelism.,false,false,false,true,51818f69a24613fe84aa99d3f5156aba603898138d494cfad5a6a1d393857519,51818f69a24613fe84aa99d3f5156aba603898138d494cfad5a6a1d393857519,Question-family classification review,PASS,
