Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,What is the y-intercept of y=5(2)^x?,"(5,0)","(0,2)","(0,5)","(2,0)",30,3
2,What is the y-intercept of y=8(0.5)^x?,"(8,0)","(0,8)","(0,0.5)","(0.5,0)",30,2
3,What is the y-intercept of y=3(1.5)^x?,"(0,3)","(3,0)","(0,1.5)","(1.5,0)",30,1
4,What is the y-intercept of y=12(0.75)^x?,"(12,0)","(0,0.75)","(0.75,0)","(0,12)",30,4
5,What is the y-intercept of y=7(3)^x?,"(7,0)","(0,3)","(0,7)","(3,0)",30,3
6,Does y=5(2)^x show growth or decay?,decay,growth,linear,quadratic,30,2
7,Does y=8(0.5)^x show growth or decay?,decay,growth,linear,quadratic,30,1
8,Does y=3(1.5)^x show growth or decay?,decay,linear,quadratic,growth,30,4
9,Does y=12(0.75)^x show growth or decay?,growth,linear,decay,quadratic,30,3
10,Does y=7(3)^x show growth or decay?,decay,growth,linear,quadratic,30,2
11,What is the range of y=5(2)^x?,y>0,all real numbers,y<0,y≥0,30,1
12,What is the range of y=8(0.5)^x?,all real numbers,y<0,y≥0,y>0,30,4
13,What is the range of y=3(1.5)^x?,all real numbers,y<0,y>0,y≥0,30,3
14,What is the range of y=12(0.75)^x?,all real numbers,y>0,y<0,y≥0,30,2
15,What is the range of y=7(3)^x?,y>0,all real numbers,y<0,y≥0,30,1
16,What is the horizontal asymptote of y=5(2)^x?,x=5,y=5,x=0,y=0,30,4
17,What is the horizontal asymptote of y=8(0.5)^x?,x=8,y=8,y=0,x=0,30,3
18,What is the horizontal asymptote of y=3(1.5)^x?,x=3,y=0,y=3,x=0,30,2
19,What is the horizontal asymptote of y=12(0.75)^x?,y=0,x=12,y=12,x=0,30,1
20,What is the horizontal asymptote of y=7(3)^x?,x=7,y=7,x=0,y=0,30,4
