Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Data begin near 100 and successive ratios are about 1.2. Which model type is most reasonable?,exponential growth,linear growth,quadratic,constant,30,1
2,Data begin near 80 and successive ratios are about 0.8. Which model type is most reasonable?,linear decay,quadratic,constant,exponential decay,30,4
3,Data begin near 50 and successive ratios are about 1.5. Which model type is most reasonable?,linear growth,quadratic,exponential growth,constant,30,3
4,Data begin near 200 and successive ratios are about 0.9. Which model type is most reasonable?,linear decay,exponential decay,quadratic,constant,30,2
5,Data begin near 30 and successive ratios are about 1.1. Which model type is most reasonable?,exponential growth,linear growth,quadratic,constant,30,1
6,"Using M(t)=10(2)^t, what is M(3)?",10,20,90,8,30,4
7,"Using M(t)=20(1.5)^t, what is M(2)?",20,30.0,45,65.0,30,3
8,"Using M(t)=80(0.5)^t, what is M(2)?",80,20,40.0,100.0,30,2
9,"Using M(t)=50(1.2)^t, what is M(2)?",72,50,60.0,122.0,30,1
10,"Using M(t)=100(0.9)^t, what is M(2)?",100,90.0,181.0,81,30,4
11,What is a residual?,predicted minus time,initial value times factor,observed minus predicted,constant ratio,30,3
12,Residuals clustered near 0 usually indicate what?,the model is always linear,the model fits reasonably well,the data are exact,the domain is all real,30,2
13,A prediction far beyond the observed data is called what?,extrapolation,interpolation,factorization,translation,30,1
14,Why can noisy data still use an exponential model?,ratios must be exactly equal,differences must be constant,all residuals must be zero,ratios can be approximately stable,30,4
15,"For a time-based real-world model, which domain restriction is common?",t<0 only,all outputs negative,t≥0,x=0 only,30,3
16,"If all residuals are positive, the model tends to do what?",overpredict,underpredict,fit perfectly,be quadratic,30,2
17,"If all residuals are negative, the model tends to do what?",overpredict,underpredict,fit perfectly,be linear,30,1
18,Which check helps compare linear and exponential models?,count terms only,use the larger equation,choose the model with more symbols,compare pattern and residuals,30,4
19,A model limitation describes what?,the exact y-intercept only,the color of the graph,where assumptions may stop being reasonable,the number of table rows,30,3
20,A scatter plot that curves downward toward 0 suggests what?,linear growth,exponential decay,quadratic maximum,constant function,30,2
