Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Which method is efficient when y is already isolated?,substitution,factoring,square roots,long division,20,1
2,"In substitution, an expression replaces...",only its first term,the entire variable occurrence,only the coefficient,the equals sign,20,2
3,"If y=2x+1 and x+y=7, the solution is...","(5,2)","(3,4)","(2,5)","(1,6)",20,3
4,"If y=-x+4 and x+y=4, which statement is true?",there is no solution,x must equal 4,substitution is impossible,the equations represent the same relationship,20,4
5,"After finding x by substitution, next find...",the corresponding y-value,a new system,the slope only,a third variable,20,1
6,Which cue favors elimination?,a variable already isolated,opposite coefficients,a graph is given,a table is given,20,2
7,Substituting 3x-2 for y means writing...,3x wherever y appears,-2 wherever y appears,(3x-2) wherever y appears,3x-2 on one side only,20,3
8,What ordered pair satisfies y=x+3 and x+y=11?,"(7,4)","(3,8)","(5,6)","(4,7)",20,4
9,A candidate solution should be checked in...,both original equations,only the isolated equation,only the second equation,neither equation,20,1
10,"If one equation is x=2y+1, substitution can replace...",y with x,x with 2y+1,2 with y,1 with x,20,2
11,What is the main goal of substitution?,make two graphs parallel,create a quadratic,reduce the system to one variable,remove all constants,20,3
12,"If y=3x-2 and x+y=10, x equals...",2,4,5,3,20,4
13,"If y=2x+5 and x+y=-1, the solution is...","(-2,1)","(1,-2)","(-1,0)","(2,-1)",20,1
14,Which is a common substitution error?,checking the solution,not using parentheses around a replacement expression,isolating a variable,simplifying like terms,20,2
15,A solution of a two-variable system is reported as...,one number only,a slope only,an ordered pair,an intercept only,20,3
16,Choose substitution when...,both equations are identical only,no variables appear,the system has three equations,one variable is easy to isolate,20,4
17,"If substitution gives a false statement such as 0=4, there are...",no solutions,infinitely many solutions,one solution,four solutions,20,1
18,"If substitution gives an identity such as 0=0, there are...",no solutions,infinitely many solutions,one solution,zero variables,20,2
19,Efficiency means choosing the method that...,always uses more steps,always graphs first,uses the equation structure to reduce work,avoids checking,20,3
20,The ordered pair found by substitution must make...,only one equation true,both equations false,the slopes equal,both equations true,20,4
