q_id,artifact_type,artifact_unit,artifact_section,artifact_day,artifact_slot,usage_type,combine_with
U5-S1-DOK1.02,summative,unit5,5.1,—,target1 V1-4,number-swap,
U5-S1-DOK1.01,summative,unit5,5.1,—,target1 V5-6,reword,
U5-S1-DOK1.02,summative,unit5,5.1,—,target1 V7-8,switch-order,
U5-S2-DOK1.13,summative,unit5,5.2,—,target2 V1-4,number-swap,
U5-S2-DOK1.14,summative,unit5,5.2,—,target2 V5-6,reword,
U5-S2-DOK1.13,summative,unit5,5.2,—,target2 V7-8,switch-order,
U5-S3-DOK1.03,summative,unit5,5.3,—,target3 V1-4,number-swap,
U5-S3-DOK1.04,summative,unit5,5.3,—,target3 V5-6,reword,
U5-S3-DOK1.05,summative,unit5,5.3,—,target3 V7-8,switch-order,
U5-S4-DOK1.08,summative,unit5,5.4,—,target4 V1-4,number-swap,
U5-S4-DOK1.08,summative,unit5,5.4,—,target4 V5-6,reword,
U5-S4-DOK1.08,summative,unit5,5.4,—,target4 V7-8,switch-order,
U5-S1-DOK2.01,summative,unit5,5.1,—,target5 V1-4,number-swap,
U5-S1-DOK2.01,summative,unit5,5.1,—,target5 V5-6,reword,
U5-S1-DOK2.01,summative,unit5,5.1,—,target5 V7-8,switch-order,
U5-S2-DOK2.06,summative,unit5,5.2,—,target6 V1-4,number-swap,
U5-S2-DOK2.08,summative,unit5,5.2,—,target6 V5-6,reword,
U5-S2-DOK2.06,summative,unit5,5.2,—,target6 V7-8,switch-order,
U5-S3-DOK2.03,summative,unit5,5.3,—,target7 V1-4,number-swap,
U5-S3-DOK2.06,summative,unit5,5.3,—,target7 V5-6,reword,
U5-S3-DOK2.06,summative,unit5,5.3,—,target7 V7-8,switch-order,
U5-S5-DOK2.05,summative,unit5,5.5,—,target8 V1-4,number-swap,
U5-S5-DOK2.05,summative,unit5,5.5,—,target8 V5-6,reword,
U5-S5-DOK2.05,summative,unit5,5.5,—,target8 V7-8,switch-order,
U5-S4-DOK3.03,summative,unit5,5.4,—,target9 V1-4,number-swap,
U5-S4-DOK3.04,summative,unit5,5.4,—,target9 V5-6,reword,
U5-S4-DOK3.03,summative,unit5,5.4,—,target9 V7-8,switch-order,
U5-S5-DOK3.01,summative,unit5,5.5,—,target10 V1-4,number-swap,
U5-S5-DOK3.02,summative,unit5,5.5,—,target10 V5-6,reword,
U5-S5-DOK3.03,summative,unit5,5.5,—,target10 V7-8,switch-order,
