Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer(s)
1,"In $g(x)=f(x-3)$, the graph shifts...",right 3,left 3,up 3,down 3,1
2,"In $g(x)=f(x+2)$, the graph shifts...",right 2,left 2,up 2,down 2,2
3,"In $g(x)=f(x)+5$, the graph shifts...",down 5,right 5,up 5,left 5,3
4,"In $g(x)=f(x)-4$, the graph shifts...",up 4,right 4,left 4,down 4,4
5,"In $g(x)=-f(x)$, the graph is reflected across the...",y-axis,x-axis,line y=x,origin only,2
6,"In $g(x)=2f(x)$, the graph has a...",horizontal stretch by 2,vertical shift by 2,vertical stretch by 2,reflection only,3
7,Vertex of $y=(x-4)^2+1$?,"(-4,1)","(4,-1)","(-4,-1)","(4,1)",4
8,Vertex of $y=|x+3|-2$?,"(-3,-2)","(3,-2)","(-3,2)","(3,2)",1
9,"If (1,2) is on f, under $f(x-2)+3$ it moves to...","(-1,5)","(3,-1)","(3,5)","(-1,-1)",3
10,A rule for shifting f left 4 is...,$f(x-4)$,$f(x)+4$,$f(x)-4$,$f(x+4)$,4
11,A rule for shifting f down 6 is...,$f(x)-6$,$f(x)+6$,$f(x-6)$,$f(x+6)$,1
12,"For $y=3|x|$, compared with $y=|x|$ the graph is...",shifted right,vertically stretched,shifted up,horizontally shifted,2
13,The y-intercept of $y=2^x+3$ is...,1,3,5,4,4
14,The vertex of $y=-|x-1|+5$ is...,"(1,5)","(-1,5)","(1,-5)","(-1,-5)",1
15,"In $f(x-h)$, positive h causes a shift...",left,right,up,down,2
16,"In $f(x)+k$, positive k causes a shift...",down,left,up,right,3
17,"If a parent key point is (0,0), under $f(x+2)-1$ it becomes...","(-2,-1)","(2,-1)","(-2,1)","(2,1)",1
18,"For $g(x)=0.5f(x)$, y-values are...",doubled,shifted right 0.5,halved,shifted up 0.5,3
19,"For $g(x)=f(x-1)+7$, the shifts are...","left 1, up 7","right 1, up 7","right 7, up 1","left 7, down 1",2
20,"For $g(x)=f(x+5)-2$, the shifts are...","right 5, down 2","left 2, down 5","right 2, up 5","left 5, down 2",4
