Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer(s)
1,Which family has constant first differences?,Linear,Quadratic,Exponential,Absolute value,1
2,Which family has constant second differences in an equally spaced table?,Linear,Quadratic,Exponential,Piecewise,2
3,Which family has a constant nonzero ratio in an equally spaced table?,Linear,Quadratic,Exponential,Absolute value,3
4,"Outputs 2, 5, 8, 11 are best modeled as...",Quadratic,Exponential,Piecewise,Linear,4
5,"Outputs 1, 4, 9, 16 are best modeled as...",Linear,Quadratic,Exponential,Absolute value,2
6,"Outputs 3, 6, 12, 24 are best modeled as...",Linear,Quadratic,Exponential,Piecewise,3
7,"For $y=4x-7$, the function family is...",Quadratic,Exponential,Absolute value,Linear,4
8,"For $y=(x-2)^2+3$, the function family is...",Quadratic,Linear,Exponential,Piecewise,1
9,"For $y=5(2)^x$, the function family is...",Linear,Quadratic,Exponential,Absolute value,3
10,A quantity adds 9 each month. Best model family?,Quadratic,Exponential,Absolute value,Linear,4
11,A quantity grows 6% each month. Best model family?,Exponential,Linear,Quadratic,Piecewise,1
12,"First differences are 2, 6, 10, 14. Best model family?",Linear,Quadratic,Exponential,Absolute value,2
13,"If a new point breaks constant first differences, an exact linear model is...",Still guaranteed,Automatically exponential,Automatically quadratic,No longer supported,4
14,Which evidence best supports an exponential model?,Constant ratios,Constant first differences,Constant second differences,One y-intercept,1
15,Which evidence best supports a linear model?,Constant ratios,Constant first differences,Constant second differences,A turning point,2
16,Which evidence best supports a quadratic model?,Constant ratios,Constant first differences,Constant second differences,One intercept,3
17,A model selected from only two points should be...,Checked with more pattern evidence,Accepted as definitely linear,Accepted as definitely exponential,Accepted as definitely quadratic,1
18,"For $y=-3x+2$, the rate of change is...",2,3,-3,-2,3
19,"For $y=2(1.5)^x$, the growth factor is...",2,1.5,0.5,3.5,2
20,"For $y=(x+4)^2-1$, the turning point is...","(4,-1)","(-4,1)","(4,1)","(-4,-1)",4
