Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Where is the solution of a graphed system?,at the intersection,at either y-intercept,at the steeper line,at x=0,20,1
2,Lines with the same slope and different intercepts have...,one solution,no solution,infinitely many solutions,two solutions,20,2
3,Equivalent equations in a system have...,no solution,one solution,infinitely many solutions,exactly two solutions,20,3
4,What ordered pair solves x+y=7 and x-y=1?,"(3,4)","(6,1)","(2,5)","(4,3)",20,4
5,What ordered pair solves x+y=5 and x-y=3?,"(4,1)","(1,4)","(3,2)","(5,0)",20,1
6,"When multiplying an equation for elimination, multiply...",only x-terms,every term on both sides,only y-terms,only the constants,20,2
7,"If two lines have different slopes, the system has...",no solution,infinitely many solutions,one solution,cannot be solved,20,3
8,"The intersection (2,5) means...",only the first equation is true,the lines are parallel,the system has no solution,"both equations are true at x=2,y=5",20,4
9,Elimination works by creating...,opposite coefficients,equal intercepts,parallel lines,a table only,20,1
10,"For y=2x+1 and y=2x+4, the solution type is...",one solution,no solution,infinitely many solutions,two solutions,20,2
11,"For 2x+4y=10 and x+2y=5, the solution type is...",no solution,one solution,infinitely many solutions,two solutions,20,3
12,"For y=x+1 and y=-x+5, the solution type is...",no solution,infinitely many solutions,cannot tell,one solution,20,4
13,A table shows both equations give y=6 when x=3. The system solution is...,"(3,6)","(6,3)","(3,3)","(6,6)",20,1
14,"If elimination produces 0=5, the system has...",one solution,no solution,infinitely many solutions,a solution at 5,20,2
15,"If elimination produces 0=0, the system has...",no solution,one solution,infinitely many solutions,a solution at 0,20,3
16,Which point is a system solution?,a point on either equation,any x-intercept,any y-intercept,a point satisfying both equations,20,4
17,What should be checked after solving by elimination?,the ordered pair in both original equations,only the first equation,only the graph scale,only the x-coordinate,20,1
18,Parallel distinct lines represent...,a dependent system,an inconsistent system,one solution,an intersection,20,2
19,The graphing method identifies a system solution by...,adding equations,factoring,finding where the lines meet,finding only y-intercepts,20,3
20,Elimination preserves equivalence when you...,change one term only,change only one side,drop a coefficient,apply the same operation to the whole equation,20,4
