Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Solve x+5=12,7,17,5,-7,20,1
2,Solve 3x=21,18,7,24,6,20,2
3,Solve 2x+3=17,10,5,7,20,20,3
4,What must be preserved when solving an equation?,Only the left side,Only integer values,The order of terms,Equality on both sides,20,4
5,A solution in context should be,interpreted with the quantity and units,reported without units,rounded to zero,ignored after solving,20,1
6,Solve 4x+1=29,8,7,6,28,20,2
7,Solve 4x+1=9,3,1,2,8,20,3
8,Solve 4x+1=13,4,2,12,3,20,4
9,Solve 4x+1=17,4,5,3,16,20,1
10,Solve 4x+1=21,6,5,4,20,20,2
11,Solve 4x+1=25,7,5,6,24,20,3
12,Solve 4x+1=29,8,6,28,7,20,4
13,Solve 4x+1=9,2,3,1,8,20,1
14,Solve 4x+1=13,4,3,2,12,20,2
15,Solve 4x+1=17,5,3,4,16,20,3
16,Solve 4x+1=21,6,4,20,5,20,4
17,Solve 4x+1=25,6,7,5,24,20,1
18,Solve 4x+1=29,8,7,6,28,20,2
19,Solve 4x+1=9,3,1,2,8,20,3
20,Solve 4x+1=13,4,2,12,3,20,4
