bank_id,destination,section,exact_target,mastery_goal_id,expected_evidence,representation,response_type,source_basis
U4-SUM-V1-Q01,Secure Summative V1,SUM,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",U4-MG01,"Secure evidence for U4-MG01: Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",Table + Context,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V1-Q02,Secure Summative V1,SUM,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",U4-MG02,"Secure evidence for U4-MG02: Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",Table + Equation,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V1-Q03,Secure Summative V1,SUM,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",U4-MG03,"Secure evidence for U4-MG03: Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",Equation + Table,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V1-Q04,Secure Summative V1,SUM,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",U4-MG04,"Secure evidence for U4-MG04: Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",Context + Equation,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V1-Q05,Secure Summative V1,SUM,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",U4-MG01,"Secure evidence for U4-MG01: Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",Context + Equation,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V1-Q06,Secure Summative V1,SUM,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",U4-MG02,"Secure evidence for U4-MG02: Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",Graph production,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V1-Q07,Secure Summative V1,SUM,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",U4-MG03,"Secure evidence for U4-MG03: Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",Graph,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V1-Q08,Secure Summative V1,SUM,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",U4-MG04,"Secure evidence for U4-MG04: Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",Scatter plot,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V2-Q01,Secure Summative V2,SUM,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",U4-MG03,"Secure evidence for U4-MG03: Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",Equation + Table,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V2-Q02,Secure Summative V2,SUM,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",U4-MG01,"Secure evidence for U4-MG01: Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",Context + Equation,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
