Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer(s)
1,"Outputs 4,7,10,13 fit which family?",Linear,Quadratic,Exponential,Absolute value,1
2,"Outputs 2,6,18,54 fit which family?",Linear,Exponential,Quadratic,Absolute value,2
3,"Outputs 2,3,6,11 fit which family?",Linear,Exponential,Quadratic,Piecewise,3
4,A V-shaped graph with one turning point suggests...,Linear,Exponential,Constant,Absolute value,4
5,"For exact zeros of a factorable quadratic, the most direct representation is usually...",Table only,Factored equation,Context only,Bar chart,2
6,"For quickly seeing a turning point, the most direct representation is usually...",Paragraph,Equation only in standard form,Graph,Unit label,3
7,"For checking constant differences or ratios, the most direct representation is usually...",Graph title,Context sentence,Axis color,Table,4
8,A quantity starts at 20 and adds 7 each week. Model family?,Linear,Quadratic,Exponential,Absolute value,1
9,A quantity starts at 30 and doubles every 4 hours. Model family?,Linear,Quadratic,Exponential,Absolute value,3
10,A model predicts values close to but not identical to the data. The fit is...,Exact,Impossible,Always linear,Approximate,4
11,"When model choice conflicts with the context domain, you should...",reconsider the model or domain,ignore the context,force all real inputs,change only the title,1
12,"To distinguish linear from quadratic table behavior, compare...",only y-intercepts,first and second differences,only one point,only units,2
13,"To distinguish linear from exponential table behavior, compare...",only maxima,only x-intercepts,only labels,differences and ratios,4
14,"In a transformed quadratic, the vertex is most directly visible in...",vertex form,factored form only,a unit label,a random list,1
15,"In an exponential equation, the multiplicative factor per unit is the...",y-intercept only,base,exponent variable name,domain label,2
16,"In an absolute-value graph, the change in direction occurs at the...",asymptote,y-axis always,vertex,largest x-value,3
17,A strong multi-representation solution should...,use each representation for a useful job,repeat the same calculation four times,ignore conflicts,choose by habit only,1
18,"If a graph and equation appear to describe different relationships, first...",average the answers,ignore the graph,check consistency before combining results,ignore the equation,3
19,A table with constant ratio 0.5 indicates...,Linear growth,Exponential decay,Quadratic growth,Absolute-value growth,2
20,A table with constant second difference 6 indicates...,Linear behavior,Exponential behavior,Constant behavior,Quadratic behavior,4
