Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Solve x+5=12,5,-7,7,17,20,3
2,Solve 3x=21,7,6,24,18,20,1
3,Solve 2x+3=17,20,7,10,5,20,2
4,What must be preserved when solving an equation?,Only the left side,The order of terms,Only integer values,Equality on both sides,20,4
5,A solution in context should be,interpreted with the quantity and units,rounded to zero,ignored after solving,reported without units,20,1
6,Solve 4x+1=29,28,7,8,6,20,2
7,Solve 4x+1=9,3,1,8,2,20,4
8,Solve 4x+1=13,3,4,2,12,20,1
9,Solve 4x+1=17,3,5,4,16,20,3
10,Solve 4x+1=21,5,20,6,4,20,1
11,Solve 4x+1=25,7,6,24,5,20,2
12,Solve x-7=9,-16,14,2,16,20,4
13,Solve 5x=35,40,30,7,5,20,3
14,Solve x/6=8,42,48,14,2,20,2
15,Solve 3x-4=17,7,13,21,5,20,1
16,Solve 2x+5=19,12,14,5,7,20,4
17,Solve 5x-6=24,6,30,5,18,20,1
18,Solve 3x+8=2x+14,22,-6,6,14,20,3
19,Solve 4(x+1)=28,5,6,7,8,20,2
20,Solve 2(x-3)+4=14,10,7,5,8,20,4
