Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Simplify 3x+2x,5x,5,x,6x,20,1
2,Expand 2(x+4),x+8,2x+4,2x+8,8x,20,3
3,Factor 6x+12,2(3x+12),6(x+2),3(2x+12),6x(12),20,2
4,Coefficient in -4x+7,-7,7,4,-4,20,4
5,Equivalent to 3(x+5),15x,8x,3x+15,3x+5,20,3
6,Expand 2(x+2),2x+4,2x+2,x+4,4x,20,1
7,Expand 3(x+2),3x+2,3x+6,6x,x+6,20,2
8,Expand 4(x+2),4x+2,x+8,8x,4x+8,20,4
9,Expand 5(x+2),5x+10,x+10,5x+2,10x,20,1
10,Expand 6(x+2),6x+2,6x+12,x+12,12x,20,2
11,Simplify 4x+3x,x,12x,7,7x,20,4
12,Simplify 9x-5x,4x,4,-4x,14x,20,1
13,Factor 8x+12,4(2x+12),2(4x+6),4(2x+3),8(x+12),20,3
14,Factor 15x-20,5(3x-4),15(x-20),5(3x-20),3(5x-4),20,1
15,Coefficient in 6-3x,-6,-3,6,3,20,2
16,Constant in 7x+9,x,16,7,9,20,4
17,Equivalent to 4(x-2),4x-2,x-8,4x-8,8x,20,3
18,Expand -2(x+5),-2x-5,-2x-10,-2x+10,2x-10,20,2
19,Factor 18x+24,6(3x+4),6(3x+24),3(6x+8),18(x+24),20,1
20,Simplify 5x+2+2x-6,3x-4,7x+8,7x+4,7x-4,20,4
