Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Combine 8x-3x,11x,5x,5x²,-5x,20,2
2,Coefficient in -7x+4?,7,4,-4,-7,20,4
3,Distribute 4(x-3),4x-12,4x-3,x-12,4x+12,20,1
4,Distribute -3(2x+5),-6x+15,-3x+5,-6x-15,6x-15,20,3
5,Are 2x and 5x like terms?,No,Yes,Only at x=0,Only if x=1,20,2
6,Which term is NOT like 2x?,5x²,-4x,7x,0.5x,20,1
7,Evaluate 3x-8 at x=-4,20,4,-4,-20,20,4
8,Solve x+9>14,x<5,x>23,x>5,x<23,20,3
9,Solve x-6≤-2,x≤4,x≥4,x≤-8,x≥-8,20,1
10,Solve 4x<28,x>7,x<24,x>24,x<7,20,4
11,Solve -3x≥12,x≥-4,x≤-4,x≤4,x≥4,20,2
12,Solve x/5>3,x<15,x>8,x>15,x<8,20,3
13,Solve x/(-2)<6,x<-12,x>3,x<3,x>-12,20,4
14,Point 7 left and 2 down?,"(-7,-2)","(7,-2)","(-2,-7)","(7,2)",20,1
15,First coordinate tells movement along?,y-axis,both axes,x-axis,neither axis,20,3
16,Second coordinate tells movement along?,x-axis,y-axis,both axes,neither axis,20,2
17,y-intercept at 9?,"(0,9)","(9,0)","(-9,0)","(9,9)",20,1
18,x-intercept at -6?,"(0,-6)","(6,0)","(-6,-6)","(-6,0)",20,4
19,3 grid squares at 2 units each equals?,3 units,6 units,5 units,9 units,20,2
20,Graph scale is determined from?,line color,title,axis labels and tick spacing,point size,20,3
