Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Constant that completes x^2+4x+___,2,4,8,16,30,2
2,Constant that completes x^2+10x+___,5,10,25,50,30,3
3,Constant that completes x^2-6x+___,9,3,6,36,30,1
4,Constant that completes x^2+14x+___,7,14,196,49,30,4
5,Constant that completes x^2-12x+___,6,36,12,144,30,2
6,Constant that completes x^2+18x+___,9,18,81,324,30,3
7,Vertex of y=(x-3)^2-5,"(3, -5)","(-3, -5)","(3, 5)","(-5, 3)",30,1
8,Vertex of y=(x+4)^2+2,"(4, 2)","(-4, -2)","(2, -4)","(-4, 2)",30,4
9,Axis of symmetry of y=(x-6)^2+1,x=-6,x=6,y=6,x=1,30,2
10,Axis of symmetry of y=(x+2)^2-9,x=2,y=-2,x=-2,x=-9,30,3
11,Vertex form of y=x^2+8x+7,y=(x+4)^2-9,y=(x+8)^2-57,y=(x-4)^2-9,y=(x+4)^2+9,30,1
12,Vertex form of y=x^2-10x+21,y=(x+5)^2-4,y=(x-10)^2-79,y=(x-5)^2+4,y=(x-5)^2-4,30,4
13,Solutions of x^2+6x=7,7 and -1,1 and -7,3 and -3,-1 and -7,30,2
14,Solutions of x^2-8x=9,1 and -9,8 and 1,9 and -1,-9 and -1,30,3
15,Constant that completes x^2+16x+___,64,8,16,256,30,1
16,Factor x^2+10x+25,(x+10)^2,(x-5)^2,(x+25)^2,(x+5)^2,30,4
17,Vertex of y=x^2+2x-8,"(1, -9)","(-1, -9)","(-1, 9)","(-2, -8)",30,2
18,Axis of symmetry of y=x^2-4x+1,x=-2,x=4,x=2,y=2,30,3
19,Factor x^2-12x+36,(x-6)^2,(x+6)^2,(x-12)^2,(x-3)^2,30,1
20,"When completing the square in an equation, what preserves equality?",Add only to the left side,Double the linear term,Change the leading coefficient,Add the same amount to both sides,30,4
