Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,compare growth using,0,1,2,slope,20,4
2,compare starts using,1,2,y-intercept,0,20,3
3,same slope different b,2,parallel,0,1,20,2
4,same slope same b,same line,0,1,2,20,1
5,A m=4 B m=2 faster,0,1,2,A,20,4
6,A b=3 B b=8 starts higher,1,2,B,0,20,3
7,larger intercept means larger slope,2,false,0,1,20,2
8,one shared point means same line,false,0,1,2,20,1
9,different axis scales require,0,1,2,numeric slope,20,4
10,A m=-1 B m=-3 greater slope,1,2,A,0,20,3
11,A m=2 B m=2 rates,2,equal,0,1,20,2
12,A b=-2 B b=5 higher start,B,0,1,2,20,1
13,line grows faster,0,1,2,greater slope,20,4
14,A m=-1 B m=-4 falls faster,1,2,B,0,20,3
15,intersection gives,2,equal output at one input,0,1,20,2
16,parallel lines intersect,no,0,1,2,20,1
17,rate 5 start 1,0,1,2,y=5x+1,20,4
18,rate 2 start 10,1,2,y=2x+10,0,20,3
19,A rate 5 B rate 3 faster,2,A,0,1,20,2
20,A start 4 B start 12 higher,B,0,1,2,20,1
