Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Which function family matches: y=3x+2?,quadratic,exponential,constant,linear,30,4
2,"Which function family matches: 2, 6, 10, 14?",quadratic,exponential,linear,constant,30,3
3,Which function family matches: adds 5 each step?,quadratic,linear,exponential,constant,30,2
4,Which function family matches: straight nonvertical graph?,linear,quadratic,exponential,constant,30,1
5,Which function family matches: y=x^2-4x+1?,linear,exponential,constant,quadratic,30,4
6,"Which function family matches: 1, 4, 9, 16?",linear,exponential,quadratic,constant,30,3
7,Which function family matches: constant second differences?,linear,quadratic,exponential,constant,30,2
8,Which function family matches: parabola-shaped graph?,quadratic,linear,exponential,constant,30,1
9,Which function family matches: y=5(1.3)^x?,linear,quadratic,constant,exponential,30,4
10,"Which function family matches: 3, 6, 12, 24?",linear,quadratic,exponential,constant,30,3
11,Which function family matches: constant ratio 0.8?,linear,exponential,quadratic,constant,30,2
12,Which function family matches: increases by 7% each year?,exponential,linear,quadratic,constant,30,1
13,Which pattern most strongly supports a linear model?,constant ratios,constant second differences,variable in an exponent,constant first differences,30,4
14,Which pattern most strongly supports a quadratic model?,constant first differences,constant ratios,constant second differences,repeated percent change,30,3
15,Which pattern most strongly supports an exponential model?,constant first differences,constant ratios,constant second differences,constant slope only,30,2
16,A value doubles every hour. Which family is most natural?,exponential,linear,quadratic,constant,30,1
17,A fee starts at $4 and adds $2 per mile. Which family is most natural?,quadratic,exponential,constant,linear,30,4
18,Area of a square as side length changes is which family?,linear,exponential,quadratic,constant,30,3
19,Which family typically has a turning point in Algebra 1?,linear,quadratic,exponential,constant,30,2
20,Which evidence separates exponential from linear change?,ratio versus difference,vertex versus intercept,slope sign only,domain alone,30,1
