Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Model system first,one solution,no solution,infinitely many,define variables,20,4
2,Two constraints require,no solution,infinitely many,two equations,one solution,20,3
3,Ticket count equation,infinitely many,a+s=total,one solution,no solution,20,2
4,Revenue equation,price times counts,one solution,no solution,infinitely many,20,1
5,Break-even,one solution,no solution,infinitely many,equal values,20,4
6,Interpret solution with,no solution,infinitely many,units,one solution,20,3
7,Check solution against,infinitely many,both constraints,one solution,no solution,20,2
8,Negative people count,unreasonable,one solution,no solution,infinitely many,20,1
9,Independent equations give,one solution,no solution,infinitely many,different information,20,4
10,Final model answer,no solution,infinitely many,context statement,one solution,20,3
11,60 tickets,infinitely many,a+s=60,one solution,no solution,20,2
12,Adult 8 student 5,8a+5s=R,one solution,no solution,infinitely many,20,1
13,System solution,one solution,no solution,infinitely many,simultaneous solution,20,4
14,Before solving predict,no solution,infinitely many,coordinate meaning,one solution,20,3
15,Model pathway begins,infinitely many,variables,one solution,no solution,20,2
16,Model pathway ends,interpretation,one solution,no solution,infinitely many,20,1
17,A candidate solution must,one solution,no solution,infinitely many,fit context,20,4
18,Two identical conditions,no solution,infinitely many,not enough new information,one solution,20,3
19,Revenue units,infinitely many,dollars,one solution,no solution,20,2
20,Count variables,whole nonnegative in context,one solution,no solution,infinitely many,20,1
