Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,<= boundary,one solution,no solution,infinitely many,solid,20,4
2,>= boundary,no solution,infinitely many,solid,one solution,20,3
3,< boundary,infinitely many,dashed,one solution,no solution,20,2
4,> boundary,dashed,one solution,no solution,infinitely many,20,1
5,y<=x shade,one solution,no solution,infinitely many,below,20,4
6,y>=x shade,no solution,infinitely many,above,one solution,20,3
7,Test point chooses,infinitely many,shaded side,one solution,no solution,20,2
8,Solid means,equality included,one solution,no solution,infinitely many,20,1
9,Dashed means,one solution,no solution,infinitely many,equality excluded,20,4
10,Solution set,no solution,infinitely many,shaded half-plane,one solution,20,3
11,At most,infinitely many,inclusive maximum,one solution,no solution,20,2
12,At least,inclusive minimum,one solution,no solution,infinitely many,20,1
13,More than,one solution,no solution,infinitely many,strict,20,4
14,Less than,no solution,infinitely many,strict,one solution,20,3
15,"(0,0) test",infinitely many,substitute coordinates,one solution,no solution,20,2
16,Boundary point on dashed,not included,one solution,no solution,infinitely many,20,1
17,Boundary point on solid,one solution,no solution,infinitely many,included if satisfies,20,4
18,Graph critique checks,no solution,infinitely many,style and shading,one solution,20,3
19,Inequality graph has,infinitely many,many solutions,one solution,no solution,20,2
20,Boundary is related,equation,one solution,no solution,infinitely many,20,1
