Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Best form for substitution,one solution,no solution,infinitely many,isolated variable,20,4
2,After substitute,no solution,infinitely many,solve one variable,one solution,20,3
3,Then,infinitely many,back substitute,one solution,no solution,20,2
4,Solution written as,ordered pair,one solution,no solution,infinitely many,20,1
5,Check in,one solution,no solution,infinitely many,both equations,20,4
6,y=2x+1 substitute for,no solution,infinitely many,y,one solution,20,3
7,x=4-y substitute for,infinitely many,x,one solution,no solution,20,2
8,Parentheses prevent,distribution error,one solution,no solution,infinitely many,20,1
9,Already isolated variable favors,one solution,no solution,infinitely many,substitution,20,4
10,Opposite coefficients favor,no solution,infinitely many,elimination,one solution,20,3
11,Method choice based on,infinitely many,efficiency,one solution,no solution,20,2
12,Ordered pair first coordinate,x,one solution,no solution,infinitely many,20,1
13,Ordered pair second coordinate,one solution,no solution,infinitely many,y,20,4
14,Substitution preserves,no solution,infinitely many,equivalent system,one solution,20,3
15,Missing parentheses causes,infinitely many,error,one solution,no solution,20,2
16,Solve y=x-4 and x+y=6,"(5,1)",one solution,no solution,infinitely many,20,1
17,A valid solution makes,one solution,no solution,infinitely many,both true,20,4
18,One-variable equation results from,no solution,infinitely many,substitution,one solution,20,3
19,Efficient plan reduces,infinitely many,work,one solution,no solution,20,2
20,Final step,interpret/check,one solution,no solution,infinitely many,20,1
