Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,System solution on graph,one solution,no solution,infinitely many,intersection,20,4
2,Distinct parallel lines,infinitely many,intersection,no solution,one solution,20,3
3,Same line twice,intersection,infinitely many,one solution,no solution,20,2
4,Intersecting lines,one solution,no solution,infinitely many,intersection,20,1
5,Solution must satisfy,one solution,no solution,infinitely many,both equations,20,4
6,Elimination removes,no solution,infinitely many,one variable,one solution,20,3
7,x+y=7 and x-y=1,infinitely many,"(4,3)",one solution,no solution,20,2
8,Same slope different intercept,no solution,one solution,infinitely many,intersection,20,1
9,Scaled same equation,one solution,no solution,intersection,infinitely many,20,4
10,Check solution by,no solution,infinitely many,substitution,one solution,20,3
11,Break-even means,infinitely many,equal outputs,one solution,no solution,20,2
12,No intersection means,no solution,one solution,infinitely many,intersection,20,1
13,Opposite x coefficients,one solution,no solution,infinitely many,eliminate x,20,4
14,Common ordered pair,no solution,infinitely many,system solution,one solution,20,3
15,Two different intersecting lines,intersection,one solution,no solution,infinitely many,20,2
16,Graph solution type from parallel,none,one solution,no solution,infinitely many,20,1
17,Equivalent equations graph,one solution,no solution,infinitely many,same line,20,4
18,Algebra and graph should,no solution,infinitely many,agree,one solution,20,3
19,One line point only,infinitely many,not enough,one solution,no solution,20,2
20,Intersection represents,both equations true,one solution,no solution,infinitely many,20,1
