Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,System inequality solution,one solution,no solution,infinitely many,overlap,20,4
2,Feasible point satisfies,no solution,infinitely many,all constraints,one solution,20,3
3,Fails one constraint,infinitely many,not feasible,one solution,no solution,20,2
4,Feasible region,intersection,one solution,no solution,infinitely many,20,1
5,Add constraint may,one solution,no solution,infinitely many,shrink region,20,4
6,No overlap,no solution,infinitely many,no feasible point,one solution,20,3
7,At most 12 total,infinitely many,x+y<=12,one solution,no solution,20,2
8,At least 4 y,y>=4,one solution,no solution,infinitely many,20,1
9,Test candidate in,one solution,no solution,infinitely many,every inequality,20,4
10,Point in one shade only,no solution,infinitely many,not feasible,one solution,20,3
11,System graph,infinitely many,overlap shades,one solution,no solution,20,2
12,Solid boundary point,may be feasible,one solution,no solution,infinitely many,20,1
13,Dashed boundary point,one solution,no solution,infinitely many,excluded for that constraint,20,4
14,Context system,no solution,infinitely many,multiple limits,one solution,20,3
15,Candidate table,infinitely many,feasibility check,one solution,no solution,20,2
16,Empty region,incompatible constraints,one solution,no solution,infinitely many,20,1
17,Formulate system,one solution,no solution,infinitely many,translate each condition,20,4
18,Feasible choice,no solution,infinitely many,meets requirements,one solution,20,3
19,Third constraint,infinitely many,can reduce overlap,one solution,no solution,20,2
20,Boundary intersection,candidate if all inclusive,one solution,no solution,infinitely many,20,1
