Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Which boundary is used for y<2x+1?,dashed line,solid line,no boundary,vertical line only,20,1
2,Which boundary is used for y≥2x+1?,dashed line,solid line,no boundary,horizontal line only,20,2
3,"For y>2x+1, shade...",below the line,only the line,above the line,both sides,20,3
4,"For y≤2x+1, shade...",above the line,only the line,neither side,below the line,20,4
5,A test point is used to determine...,which half-plane satisfies the inequality,the slope only,the x-intercept only,the line color,20,1
6,Does a dashed boundary belong to the solution set?,yes,no,always,only at x=0,20,2
7,Does a solid boundary belong to the solution set?,no,never,yes,only at y=0,20,3
8,The boundary for y<-x+4 is...,x=-y+4 only,y=4 only,x=4 only,y=-x+4,20,4
9,"If (0,0) makes an inequality true, shade...","the side containing (0,0)",the opposite side,only the boundary,nothing,20,1
10,A shaded half-plane represents...,one point only,all points satisfying the inequality,the slope,the intercept,20,2
11,Strict inequalities use which symbols?,≤ or ≥,= only,< or >,≠ only,20,3
12,Inclusive inequalities use which symbols?,< or >,= only,≠ only,≤ or ≥,20,4
13,"For y<-2x+3, the boundary is...",dashed,solid,not graphed,a point,20,1
14,"For y≥-2x+3, the region is shaded...",below,above,only left,only right,20,2
15,"To critique an inequality graph, check...",only line color,only axis labels,boundary style and shaded side,only the title,20,3
16,"If a strict inequality is drawn with a solid line, the error is...",slope only,test point value only,axis scale only,boundary inclusion,20,4
17,"If the correct side is above but the graph shades below, the error is...",shading direction,boundary inclusion,slope sign only,intercept only,20,1
18,The graph of a linear inequality includes...,two isolated points,a boundary and a half-plane,only an equation,only a table,20,2
19,A point on y=2x+1 satisfies y≤2x+1 because...,the line is dashed,all points are included,the boundary is included,the slope is positive,20,3
20,A point on y=2x+1 does not satisfy y<2x+1 because...,the line is solid,the slope is positive,the intercept is 1,the boundary is excluded,20,4
