summative_version,bank_id,question_family_id,mastery_goal,exact_target,evidence_job,response_type,representation,estimated_time_sec,source_basis
V1,U3-SUM-SECURE-SUMMATIVE-V1-001,mg1_table,U3-MG01,"Connect tables, graphs, equations, and contexts that represent the same relationship and use evidence to determine whether representations agree.",Secure independent evidence for the full Mastery Goal.,constructed_response,Table,240,Unit 3 Assessment Plan; Framework section enrichment
V1,U3-SUM-SECURE-SUMMATIVE-V1-002,mg2_rule,U3-MG02,"Interpret functions through inputs, outputs, rules, and family features, and distinguish common function families using representation evidence.",Secure independent evidence for the full Mastery Goal.,constructed_response,Equation,240,Unit 3 Assessment Plan; Framework section enrichment
V1,U3-SUM-SECURE-SUMMATIVE-V1-003,mg3_rewrite,U3-MG03,"Interpret and rewrite algebraic expressions by using structure, grouping, properties, substitution, and equivalent forms.",Secure independent evidence for the full Mastery Goal.,constructed_response,Equation,240,Unit 3 Assessment Plan; Framework section enrichment
V1,U3-SUM-SECURE-SUMMATIVE-V1-004,mg4_model,U3-MG04,"Write, solve, and interpret equations that model situations and judge whether solutions are reasonable in context.",Secure independent evidence for the full Mastery Goal.,constructed_response,Context,240,Unit 3 Assessment Plan; Framework section enrichment
V1,U3-SUM-SECURE-SUMMATIVE-V1-005,mg1_graph,U3-MG01,"Connect tables, graphs, equations, and contexts that represent the same relationship and use evidence to determine whether representations agree.",Secure independent evidence for the full Mastery Goal.,constructed_response,Graph,240,Unit 3 Assessment Plan; Framework section enrichment
V1,U3-SUM-SECURE-SUMMATIVE-V1-006,mg2_family,U3-MG02,"Interpret functions through inputs, outputs, rules, and family features, and distinguish common function families using representation evidence.",Secure independent evidence for the full Mastery Goal.,constructed_response,Table,240,Unit 3 Assessment Plan; Framework section enrichment
V1,U3-SUM-SECURE-SUMMATIVE-V1-007,mg3_equiv,U3-MG03,"Interpret and rewrite algebraic expressions by using structure, grouping, properties, substitution, and equivalent forms.",Secure independent evidence for the full Mastery Goal.,constructed_response,Equation,240,Unit 3 Assessment Plan; Framework section enrichment
V1,U3-SUM-SECURE-SUMMATIVE-V1-008,mg4_solve,U3-MG04,"Write, solve, and interpret equations that model situations and judge whether solutions are reasonable in context.",Secure independent evidence for the full Mastery Goal.,constructed_response,Equation,240,Unit 3 Assessment Plan; Framework section enrichment
V2,U3-SUM-SECURE-SUMMATIVE-V2-001,mg3_rewrite,U3-MG03,"Interpret and rewrite algebraic expressions by using structure, grouping, properties, substitution, and equivalent forms.",Secure independent evidence for the full Mastery Goal.,constructed_response,Equation,240,Unit 3 Assessment Plan; Framework section enrichment
V2,U3-SUM-SECURE-SUMMATIVE-V2-002,mg1_graph,U3-MG01,"Connect tables, graphs, equations, and contexts that represent the same relationship and use evidence to determine whether representations agree.",Secure independent evidence for the full Mastery Goal.,constructed_response,Graph,240,Unit 3 Assessment Plan; Framework section enrichment
