Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer(s),Time Limit (sec)
1,A line has slope 2 and y-intercept 3. Which equation matches?,y=3x+2,y=2x+3,y=-2x+3,y=2x-3,2,30
2,"Which equation with slope -1 passes through (0,5)?",y=-x+6,y=x+5,y=5x-1,y=-x+5,4,30
3,A line has slope 3 and y-intercept -2. Which equation matches?,y=3x-2,y=-2x+3,y=-3x-2,y=3x+2,1,30
4,"Which equation with slope \frac{1}{2} passes through (0,4)?",y=\frac{1}{2}x+5,y=-\frac{1}{2}x+4,y=\frac{1}{2}x+4,y=4x+\frac{1}{2},3,30
5,A line has slope 4 and y-intercept 1. Which equation matches?,y=x+4,y=4x+1,y=-4x+1,y=4x-1,2,30
6,A line has slope -2 and y-intercept 7. Which equation matches?,y=-2x+7,y=2x+7,y=-7x+2,y=-2x-7,1,30
7,"Which equation has slope 3 and passes through (0, -4)?",y=-4x+3,y=3x+4,y=-3x-4,y=3x-4,4,30
8,"Which equation has slope -1/2 and passes through (0, 6)?",y=(1/2)x+6,y=-2x+6,y=-(1/2)x+6,y=6x-1/2,3,30
9,"A line with slope 2 passes through (1, 5). What is its y-intercept?",3,7,2,5,1,30
10,"A line with slope -3 passes through (2, 1). What is its y-intercept?",-5,7,-7,4,2,30
11,"Which equation passes through (2, 9) with slope 4?",y=4x+9,y=x+7,y=-4x+17,y=4x+1,4,30
12,"Which equation passes through (-1, 4) with slope -2?",y=-2x+4,y=-2x+2,y=2x+6,y=-x+3,2,30
13,"A table has y-values 2, 5, 8 when x=0,1,2. Which equation matches?",y=2x+3,y=3x-2,y=3x+2,y=x+2,3,30
14,"A table has points (0, -1), (2, 3), (4, 7). Which equation matches?",y=2x-1,y=x-1,y=2x+1,y=4x-1,1,30
15,A gym charges a 15-dollar start fee plus 8 dollars per visit. Which equation gives cost C for v visits?,C=15v+8,C=8v-15,C=23v,C=8v+15,4,30
16,A tank starts with 50 L and loses 4 L each minute. Which model matches?,V=4t+50,V=-50t+4,V=-4t+50,V=50t-4,3,30
17,Rewrite y=5x-3 with all terms on one side. Which is equivalent?,5x+y-3=0,5x-y-3=0,y-5x-3=0,5x-y+3=0,2,30
18,Which equation is equivalent to y=-2x+6?,2x-y=6,x+2y=6,2x+y=-6,2x+y=6,4,30
19,"A line has slope 1 and passes through (3, 2). Which equation matches?",y=x-1,y=x+1,y=3x+2,y=-x+5,1,30
20,"A line through (0, 4) and (3, 10) has which equation?",y=2x+4,y=3x+4,y=2x-4,y=4x+2,1,30
