"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Time Limit (sec) (Max: 300 seconds),Correct Answer(s) (Only include Answer #)
1,Find the slope through $(0;2)$ and $(3;11)$.,3,-3.0,4.0,$1/3$,45,1
2,Find the slope through $(1;8)$ and $(5;0)$.,2.0,-2,-1.0,$1/-2$,45,2
3,Find the slope through $(-2;4)$ and $(2;12)$.,-2.0,3.0,2,$1/2$,45,3
4,Find the slope through $(4;7)$ and $(8;7)$.,1,-1,undefined,0,45,4
5,Outputs start at 5 and increase 4 each input step. What is the rate?,4,5,9,3,45,1
6,Outputs start at 7 and increase 3 each input step. What is the rate?,7,3,10,2,45,2
7,Outputs start at 2 and increase 6 each input step. What is the rate?,2,8,6,5,45,3
8,A horizontal line has which slope?,undefined,1,-1,0,45,4
9,A vertical line has which slope?,undefined,0,1,-1,45,1
10,Which ratio defines slope?,$\Delta x/\Delta y$,$\Delta y/\Delta x$,$x/y$,$y/x$,45,2
11,A quantity falls 20 units in 5 minutes. What is the rate?,4 units/min,-5 units/min,-4 units/min,25 units/min,45,3
12,Which slope matches a line that rises left to right?,negative,zero,undefined,positive,45,4
13,Which slope matches a line that falls left to right?,negative,positive,zero,undefined,45,1
14,For $f(x)=3x+2$ what is $f(4)$?,12,14,10,17,45,2
15,For $g(x)=4x-1$ which input gives output 19?,4,6,5,19,45,3
16,Which statement defines a function?,Each output has exactly one input.,Every input is positive.,The graph must be a line.,Each input has exactly one output.,45,4
17,Outputs 6; 10; 14; 18 have which constant change?,4,3,6,8,45,1
18,Start 7 and add 5 each input. Which rule matches?,$y=7x+5$,$y=5x+7$,$y=5(x+7)$,$y=7-5x$,45,2
19,A line has slope 2 and starting value 9. Which equation matches?,$y=9x+2$,$y=2x-9$,$y=2x+9$,$y=9-2x$,45,3
20,If input increases by 3 and output increases by 12 what is the rate?,3,9,12,4,45,4
21,Slope units for distance versus time are,distance per time,time per distance,distance plus time,no units,45,1
22,Which feature is NOT the slope?,constant rate,starting output,rise divided by run,change in output per input,45,2
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
