Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer(s),Time Limit (sec)
1,"For y=2x+3, what is the y-intercept?",2,3,0,-3,2,30
2,"For y=-x+4, what is the slope?",4,1,0,-1,4,30
3,"For y=\frac{1}{2}x-2, what is the y-intercept?",-2,0.5,0,2,1,30
4,"For y=3x, what is the slope?",0,-3,3,10,3,30
5,"For y=4x-7, what is the slope?",-7,4,7,-4,2,30
6,"For y=-3x+2, what is the y-intercept?",2,-3,3,-2,1,30
7,Which point is the y-intercept of y=2x+5?,"(5, 0)","(0, 2)","(2, 5)","(0, 5)",4,30
8,Which point lies on y=3x-1?,"(2, 6)","(1, 3)","(2, 5)","(0, 1)",3,30
9,"For y=-2x+6, where does the line cross the y-axis?",6,-2,2,-6,1,30
10,A line has slope 0 and y-intercept 4. Which equation matches?,x=4,y=4,y=4x,y=x+4,2,30
11,Which equation represents a line with slope 1/2 and y-intercept 3?,y=3x+1/2,y=2x+3,y=(1/2)x-3,y=(1/2)x+3,4,30
12,"For y=-x-5, which statement is true?","slope -5, intercept -1","slope -1, intercept -5","slope 1, intercept -5","slope -1, intercept 5",2,30
13,A line crosses the y-axis at -2 and rises 3 for every 1 right. Which equation matches?,y=-2x+3,y=3x+2,y=3x-2,y=-3x-2,3,30
14,Which point lies on y=-x+4?,"(3, 1)","(3, 7)","(4, 4)","(1, 4)",1,30
15,"For y=(3/4)x+1, what is the rise when the run is 4?",4,1,-3,3,4,30
16,"For y=-2x+1, what happens to y when x increases by 1?",y increases by 2,y decreases by 1,y decreases by 2,y stays the same,3,30
17,A line is parallel to y=5x-2. What slope must it have?,-5,5,2,1/5,2,30
18,Which equation has y-intercept 0?,y=-3x+1,y=x-3,y=3,y=-3x,4,30
19,"For y=2x-8, which ordered pair is on the line?","(4, 0)","(0, 4)","(4, 8)","(2, -8)",1,30
20,A graph starts at 6 on the y-axis and falls 1 per step right. Which equation matches?,y=-x+6,y=x+6,y=-6x+1,y=x-6,1,30
