Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer(s),Time Limit (sec)
1,A has rate 2; B has rate 1. Which changes faster?,B,A,same rate,cannot tell,2,30
2,A starts at 8; B starts at 0. Which starts larger?,B,same start,cannot tell,A,4,30
3,A has rate -1; B has rate -2. Which decreases faster?,A,B,same rate,cannot tell,1,30
4,A starts at 0; B starts at 6. Which starts larger?,A,same start,B,cannot tell,3,30
5,A has slope 3; B has slope 5. Which changes faster?,A,B,same rate,cannot tell,2,30
6,A has slope -4; B has slope -2. Which decreases faster?,A,B,same rate,cannot tell,1,30
7,A starts at 2; B starts at 9. Which starts larger?,A,same start,cannot tell,B,4,30
8,A starts at -3; B starts at -8. Which starts larger?,B,same start,A,cannot tell,3,30
9,A: y=2x+7. B: y=3x+1. Which has the greater rate?,B,A,same rate,cannot tell,1,30
10,A: y=-x+4. B: y=-x+10. Which starts larger?,A,B,same start,cannot tell,2,30
11,A: y=4x-2. B has rate 4 and start 5. Which changes faster?,A,B,cannot tell,same rate,4,30
12,A has rate 1/2 and start 6. B: y=(1/2)x-3. Which starts larger?,B,A,same start,cannot tell,2,30
13,Table A rises 6 when x rises 2. Table B has slope 2. Which rate is greater?,B,same rate,A,cannot tell,3,30
14,Table A drops 8 when x rises 4. B: y=-3x+1. Which decreases faster?,B,A,same rate,cannot tell,1,30
15,Plan A starts at 20 dollars and adds 5 dollars/month. Plan B starts at 35 dollars and adds 3 dollars/month. Which starts larger?,Plan A,same start,cannot tell,Plan B,4,30
16,Plan A starts at 20 dollars and adds 5 dollars/month. Plan B starts at 35 dollars and adds 3 dollars/month. Which grows faster?,Plan B,same rate,Plan A,cannot tell,3,30
17,"A: y=2x+1 and B: y=x+6. At x=5, how do the outputs compare?",A is larger,they are equal,B is larger,cannot tell,2,30
18,"A: y=3x and B: y=x+8. At x=2, which output is larger?",A,they are equal,cannot tell,B,4,30
19,Two lines have the same slope but different y-intercepts. What must be true?,they are parallel,they are the same line,they intersect at x=0,one is vertical,1,30
20,A line looks steeper only because its graph uses a different scale. What should you compare instead?,numerical slopes,line colors,graph widths,y-intercepts only,1,30
