Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer(s)
1,"From y=x^2 to y=3x^2, what transformation occurs?",vertical compression by 3,vertical stretch by 3,reflection across x-axis,shift up 3,2
2,"From y=x^2 to y=0.5x^2, what transformation occurs?",vertical stretch by 2,reflection across x-axis,shift right 1/2,vertical compression by 1/2,4
3,"From y=x^2 to y=-x^2, what transformation occurs?",reflection across x-axis,vertical stretch by 1,shift down 1,reflection across y-axis,1
4,"From y=x^2 to y=-2x^2, what transformations occur?",compress by 2 only,shift down 2,reflect across x-axis and stretch by 2,reflect across y-axis and stretch by 2,3
5,"If f(2)=4 and g(x)=2f(x), what is g(2)?",2,8,4,6,2
6,"If f(-1)=1 and g(x)=-3f(x), what is g(-1)?",-3,3,-1,1,1
7,"If f(4)=8 and g(x)=0.5f(x), what is g(4)?",8,16,0.5,4,4
8,"If f(0)=0 and g(x)=-2f(x)+1, what is g(0)?",0,-1,1,2,3
9,An output multiplier with magnitude greater than 1 causes what?,vertical stretch,vertical compression,horizontal shift,vertical translation,1
10,An output multiplier with magnitude between 0 and 1 causes what?,vertical stretch,vertical compression,horizontal shift,reflection across y-axis,2
11,What extra effect occurs when the output multiplier is negative?,shift left,reflection across y-axis,shift up,reflection across x-axis,4
12,What best describes g(x)=-0.5f(x)?,reflect across x-axis and compress by 1/2,stretch by 2 only,shift down 1/2,reflect across y-axis,1
13,"For f(x)=|x|, does point (2,-4) fit g(x)=-2f(x)?","no, y should be 4","no, y should be -2",yes,"no, x should be -2",3
14,"For f(x)=|x|, does point (1,3) fit g(x)=2f(x)?",yes,"no, y should be -2","no, x should be 2","no, y should be 2",4
15,"For f(x)=x^2, does point (2,2) fit g(x)=0.5f(x)?","no, y should be 4",yes,"no, y should be 1","no, x should be 1",2
16,"For f(x)=x^2, does point (1,-3) fit g(x)=-2f(x)?",yes,"no, y should be 2","no, y should be -2","no, x should be -1",3
17,A transformed V opens downward and is twice as steep. What multiplier fits?,-2,2,-0.5,0.5,1
18,A transformed parabola is wider with the same vertex. Which multiplier is plausible?,2,-2,3,0.5,4
19,Which equation matches a reflection and vertical stretch by 4?,g(x)=4f(x),g(x)=-4f(x),g(x)=f(x)-4,g(x)=f(x+4),2
20,Which equation matches a vertical compression by 1/3?,g(x)=3f(x),g(x)=f(x)-3,g(x)=(1/3)f(x),g(x)=f(x/3),3
