Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer(s)
1,Simplify (2x+3x)+(-x+2).,4x+2,4x+5,x+2,6x,1
2,Simplify (3x+3x)+(0x+2).,6x+5,3x+2,8x,6x+2,4
3,Simplify (4x+3x)+(x+2).,5x+2,10x,8x+2,8x+5,3
4,Simplify (x+3x)+(2x+2).,8x,6x+2,6x+5,3x+2,2
5,Simplify (2x+3x)+(-2x+2).,3x+2,3x+5,0x+2,5x,1
6,Simplify (3x+3x)+(-x+2).,5x+5,2x+2,7x,5x+2,4
7,Simplify (4x+3x)+(0x+2).,4x+2,9x,7x+2,7x+5,3
8,Simplify (x+3x)+(x+2).,7x,5x+2,5x+5,2x+2,2
9,Simplify (2x+3x)+(2x+2).,7x+2,7x+5,4x+2,9x,1
10,Simplify (3x+3x)+(-2x+2).,4x+5,x+2,6x,4x+2,4
11,Simplify (4x+3x)+(-x+2).,3x+2,8x,6x+2,6x+5,3
12,Simplify (x+3x)+(0x+2).,6x,4x+2,4x+5,x+2,2
13,Simplify (2x+3x)+(x+2).,6x+2,6x+5,3x+2,8x,1
14,Simplify (3x+3x)+(2x+2).,8x+5,5x+2,10x,8x+2,4
15,Simplify (4x+3x)+(-2x+2).,2x+2,7x,5x+2,5x+5,3
16,Simplify (x+3x)+(-x+2).,5x,3x+2,3x+5,0x+2,2
17,Simplify (2x+3x)+(0x+2).,5x+2,5x+5,2x+2,7x,1
18,Simplify (3x+3x)+(x+2).,7x+5,4x+2,9x,7x+2,4
19,Simplify (4x+3x)+(2x+2).,6x+2,11x,9x+2,9x+5,3
20,Simplify (x+3x)+(-2x+2).,4x,2x+2,2x+5,-x+2,2
