Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,For y=2x+13 what is y when x=4?,18,21,19,23,20,2
2,Which rule has rate 5 and start -4?,y=-4x+5,y=5x+4,y=x-4,y=5x-4,20,4
3,Which pair lies on y=-3x+8?,"(2,2)","(2,14)","(-2,2)","(0,-3)",20,1
4,A cost starts at $9 and rises $4 per hour. Cost at 3 hours?,$12,$13,$21,$27,20,3
5,Two tables match if they have what?,same row count,same input-output relationship,same colors,same title,20,2
6,"A table has points (0,6) and (2,14). What is its rate?",4,2,6,8,20,1
7,If y=7-2x what is y at x=-1?,5,-9,-5,9,20,4
8,Rule y=3x+1 becomes what output at x=5?,15,14,16,18,20,3
9,"Points (0,-2) and (4,10) have rate?",3,2,4,-3,20,1
10,Same rate but different starting values means identical?,Yes,Only for positive x,Only on a graph,No,20,4
11,Which is a valid representation translation?,same shape only,same pairs in a table and graph,same number of rows,same labels only,20,2
12,If y=-x+12 what input gives output 5?,5,17,7,-7,20,3
13,At x=0 a linear rule gives y=11. What graph feature is this?,x-intercept,slope,scale,y-intercept,20,4
14,Move 6 left and 4 up from origin. Point?,"(-6,4)","(6,4)","(-4,6)","(4,-6)",20,1
15,Which axis is horizontal?,y-axis,origin,x-axis,scale,20,3
16,Which axis is vertical?,x-axis,y-axis,origin,intercept,20,2
17,If each grid square is 2 units then 3 squares represent?,6,3,5,8,20,1
18,A y-intercept of -7 is which point?,"(-7,0)","(7,0)","(0,7)","(0,-7)",20,4
19,An x-intercept of 5 is which point?,"(0,5)","(5,0)","(-5,0)","(5,5)",20,2
20,What must you check before reading a graph coordinate?,line color,page title,axis scale,number of points,20,3
