Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,For y=2x+1 what is y when x=-2?,-3,-4,-1,-5,20,1
2,For y=2x+1 what is y when x=-1?,-2,-1,0,-3,20,2
3,For y=2x+1 what is y when x=0?,0,1,1,-1,20,2
4,For y=2x+1 what is y when x=1?,2,2,1,3,20,4
5,For y=2x+1 what is y when x=2?,5,4,3,3,20,1
6,Which equation has rate 3 and y-intercept -2?,y=-2x+3,y=3x-2,y=3x+2,y=x-2,20,2
7,Which point lies on y=2x+1?,"(2,4)","(1,4)","(2,5)","(0,0)",20,3
8,A table increases by 4 in y for each +1 in x. What is the rate?,1,-4,0,4,20,4
9,If y=-x+5 what is the y-intercept?,5,-1,1,0,20,1
10,Which representation pair can describe the same relationship?,Any two straight-looking graphs,A table and equation with the same ordered pairs,Any two tables with four rows,Any context and any equation,20,2
11,For y=3x-1 what is y when x=0?,0,-1,-1,1,20,2
12,For y=3x-1 what is y when x=1?,3,0,4,2,20,4
13,For y=3x-1 what is y when x=2?,5,6,1,7,20,1
14,For y=3x-1 what is y when x=3?,9,8,2,10,20,2
15,For y=3x-1 what is y when x=4?,12,3,11,13,20,3
16,For y=3x-1 what is y when x=0?,0,-1,1,-1,20,2
17,For y=3x-1 what is y when x=1?,2,3,0,4,20,1
18,For y=3x-1 what is y when x=2?,6,5,1,7,20,2
19,For y=3x-1 what is y when x=3?,9,2,8,10,20,3
20,For y=3x-1 what is y when x=4?,12,3,13,11,20,4
