Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Vertex of y=-(x-2)^2+13,"(-2, 13)","(2, 13)","(2, -13)","(13, 2)",30,2
2,Vertex of y=-(x-3)^2+14,"(-3, 14)","(3, -14)","(3, 14)","(14, 3)",30,3
3,Vertex of y=-(x-4)^2+15,"(-4, 15)","(4, -15)","(15, 4)","(4, 15)",30,4
4,Vertex of y=-(x-5)^2+16,"(5, 16)","(-5, 16)","(5, -16)","(16, 5)",30,1
5,Vertex of y=-(x-6)^2+12,"(-6, 12)","(6, 12)","(6, -12)","(12, 6)",30,2
6,Vertex of y=-(x-1)^2+13,"(-1, 13)","(1, -13)","(1, 13)","(13, 1)",30,3
7,Vertex of y=-(x-2)^2+14,"(-2, 14)","(2, -14)","(14, 2)","(2, 14)",30,4
8,Vertex of y=-(x-3)^2+15,"(3, 15)","(-3, 15)","(3, -15)","(15, 3)",30,1
9,Vertex of y=-(x-4)^2+16,"(-4, 16)","(4, 16)","(4, -16)","(16, 4)",30,2
10,Vertex of y=-(x-5)^2+12,"(-5, 12)","(5, -12)","(5, 12)","(12, 5)",30,3
11,Vertex of y=-(x-6)^2+13,"(-6, 13)","(6, -13)","(13, 6)","(6, 13)",30,4
12,Vertex of y=-(x-1)^2+14,"(1, 14)","(-1, 14)","(1, -14)","(14, 1)",30,1
13,Vertex of y=-(x-2)^2+15,"(-2, 15)","(2, 15)","(2, -15)","(15, 2)",30,2
14,Vertex of y=-(x-3)^2+16,"(-3, 16)","(3, -16)","(3, 16)","(16, 3)",30,3
15,Vertex of y=-(x-4)^2+12,"(-4, 12)","(4, -12)","(12, 4)","(4, 12)",30,4
16,Vertex of y=-(x-5)^2+13,"(5, 13)","(-5, 13)","(5, -13)","(13, 5)",30,1
17,Vertex of y=-(x-6)^2+14,"(-6, 14)","(6, 14)","(6, -14)","(14, 6)",30,2
18,Vertex of y=-(x-1)^2+15,"(-1, 15)","(1, -15)","(1, 15)","(15, 1)",30,3
19,Vertex of y=-(x-2)^2+16,"(-2, 16)","(2, -16)","(16, 2)","(2, 16)",30,4
20,Vertex of y=-(x-3)^2+12,"(3, 12)","(-3, 12)","(3, -12)","(12, 3)",30,1
