Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,"For 2x^2-5x+3=0, what are a, b, c?","2, 5, 3","2, -5, 3","-2, -5, 3","2, -5, -3",30,2
2,"For -x^2+4x+7=0, what are a, b, c?","1, 4, 7","-1, -4, 7","-1, 4, 7","-1, 4, -7",30,3
3,"For 3x^2+9=0, what is b?",0,3,9,1,30,1
4,Rewrite x^2-11x=6 in standard form. What is c?,6,-11,0,-6,30,4
5,Discriminant of x^2-5x+6=0,-1,1,25,49,30,2
6,Discriminant of x^2+4x+5=0,4,16,-4,36,30,3
7,Discriminant of 2x^2-3x-2=0,25,-7,9,17,30,1
8,Discriminant of 3x^2+2x+5=0,56,-16,64,-56,30,4
9,"If the discriminant is positive, how many real solutions?",0,2,1,Cannot tell,30,2
10,"If the discriminant is 0, how many real solutions?",0,2,1,Cannot tell,30,3
11,"If the discriminant is negative, how many real solutions?",0,1,2,Cannot tell,30,1
12,"If D=49 for an integer-coefficient quadratic, what type of real solutions are expected?",No real solutions,One repeated real solution,Two irrational real solutions,Two rational real solutions,30,4
13,"If D=12, what type of real solutions are expected?",Two rational real solutions,Two irrational real solutions,One repeated real solution,No real solutions,30,2
14,Solutions of x^2-3x-4=0,-4 and 1,4 and 1,4 and -1,-4 and -1,30,3
15,Solutions of x^2+2x-8=0,2 and -4,-2 and 4,2 and 4,-2 and -4,30,1
16,Solutions of 2x^2+x-3=0,-1 and 3/2,3 and -1/2,-3 and 1/2,1 and -3/2,30,4
17,"For x^2+6x+10=0, how many real solutions?",1,0,2,Cannot tell,30,2
18,A parabola crosses the x-axis twice. What is the sign of D?,Zero,Negative,Positive,Cannot tell,30,3
19,A parabola is tangent to the x-axis. What is D?,0,Positive,Negative,2,30,1
20,A parabola has no x-intercepts. What is the sign of D?,Positive,Zero,Cannot tell,Negative,30,4
