Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,Most efficient first method for (x-5)(x+2)=0,Completing the square,Factoring,Quadratic formula,Graphing,30,2
2,Most efficient first method for x^2+8x=3,Factoring,Quadratic formula,Completing the square,Graphing,30,3
3,Most efficient first method for 3x^2+2x-7=0,Quadratic formula,Factoring,Completing the square,Graphing,30,1
4,Most efficient first method for x^2-36=0,Completing the square,Quadratic formula,Graphing,Factoring,30,4
5,Most efficient first method for x^2-10x=6,Factoring,Completing the square,Quadratic formula,Graphing,30,2
6,Most efficient first method for 2x^2+5x-8=0,Factoring,Completing the square,Quadratic formula,Graphing,30,3
7,Most efficient first method for x^2+7x+10=0,Factoring,Completing the square,Quadratic formula,Graphing,30,1
8,Most efficient first method for x^2+4x-1=0,Factoring,Quadratic formula,Graphing,Completing the square,30,4
9,Most efficient first method for 4x^2-3x-2=0,Factoring,Quadratic formula,Completing the square,Graphing,30,2
10,Most efficient first method for (2x+1)(x-4)=0,Completing the square,Quadratic formula,Factoring,Graphing,30,3
11,Most efficient first method for x^2-6x=11,Completing the square,Factoring,Quadratic formula,Graphing,30,1
12,Most efficient first method for 5x^2+4x-3=0,Factoring,Completing the square,Graphing,Quadratic formula,30,4
13,Most efficient first method for x^2-9x=0,Completing the square,Factoring,Quadratic formula,Graphing,30,2
14,Most efficient first method for x^2+12x=5,Factoring,Quadratic formula,Completing the square,Graphing,30,3
15,Most efficient first method for 6x^2-x-4=0,Quadratic formula,Factoring,Completing the square,Graphing,30,1
16,Most efficient first method for x^2+10x+25=0,Completing the square,Quadratic formula,Graphing,Factoring,30,4
17,Most efficient first method for x^2-2x=7,Factoring,Completing the square,Quadratic formula,Graphing,30,2
18,Most efficient first method for 3x^2+5x+1=0,Factoring,Completing the square,Quadratic formula,Graphing,30,3
19,Most efficient first method for 2x^2-5x-3=0,Factoring,Completing the square,Quadratic formula,Graphing,30,1
20,Most efficient first method for x^2+14x+3=0,Factoring,Quadratic formula,Graphing,Completing the square,30,4
