section,route,target_id,exact_target,source
8.1,Intro,8.1-IC1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Original Unit 8 Assessment Plan
8.1,Intro,8.1-IC2,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Original Unit 8 Assessment Plan
8.1,Intro,8.1-IC3,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Original Unit 8 Assessment Plan
8.1,Review,8.1-REVIEW,"Compare linear, quadratic, and exponential functions using multiple representations.",Original Unit 8 Assessment Plan
8.1,Mastery Retrieval,8.1-MASTERY,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Original Unit 8 Assessment Plan
8.2,Intro,8.2-IC1,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Original Unit 8 Assessment Plan
8.2,Intro,8.2-IC2,I can use key points and key features to graph transformations across multiple function families.,Original Unit 8 Assessment Plan
8.2,Intro,8.2-IC3,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Original Unit 8 Assessment Plan
8.2,Review,8.2-REVIEW,Graph exponential functions and analyze key features.,Original Unit 8 Assessment Plan
8.2,Mastery Retrieval,8.2-MASTERY,Solve quadratic equations by completing the square and connect the process to vertex form.,Original Unit 8 Assessment Plan
8.3,Intro,8.3-IC1,"I can design an absolute value or piecewise representation for situations with distance, change in direction, or two-part behavior.",Original Unit 8 Assessment Plan
8.3,Intro,8.3-IC2,"I can apply key features of absolute value graphs to interpret vertex, intercepts, and rate of change.",Original Unit 8 Assessment Plan
8.3,Intro,8.3-IC3,I can predict outputs and intervals from absolute value and piecewise rules in context.,Original Unit 8 Assessment Plan
8.3,Review,8.3-REVIEW,"Identify exponential relationships from patterns, tables, graphs, and situations.",Original Unit 8 Assessment Plan
8.3,Mastery Retrieval,8.3-MASTERY,Solve quadratic equations using factored form and interpret solutions.,Original Unit 8 Assessment Plan
8.4,Intro,8.4-IC1,I can formulate a mathematical model from real-world data and state the assumptions used.,Original Unit 8 Assessment Plan
8.4,Intro,8.4-IC2,I can extend a model to make predictions within a reasonable domain.,Original Unit 8 Assessment Plan
8.4,Intro,8.4-IC3,"I can critique how well a model fits data, constraints, and the situation being studied.",Original Unit 8 Assessment Plan
8.4,Review,8.4-REVIEW,Create and analyze exponential models using real-world data.,Original Unit 8 Assessment Plan
8.4,Mastery Retrieval,8.4-MASTERY,"Use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",Original Unit 8 Assessment Plan
8.5,Intro,8.5-IC1,"I can construct a solution pathway that connects equations, graphs, tables, and contexts across function families.",Original Unit 8 Assessment Plan
8.5,Intro,8.5-IC2,I can use multiple representations to solve complex function problems and interpret results.,Original Unit 8 Assessment Plan
8.5,Intro,8.5-IC3,I can assess competing solution strategies and choose the representation that best supports the conclusion.,Original Unit 8 Assessment Plan
8.5,Review,8.5-REVIEW,"Write exponential equations from tables, graphs, and situations.",Original Unit 8 Assessment Plan
8.5,Mastery Retrieval,8.5-MASTERY,Solve quadratic equations using the quadratic formula and interpret solutions.,Original Unit 8 Assessment Plan
SUM,Mastery Goal,U8-MG01,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,Original Unit 8 Assessment Plan
SUM,Mastery Goal,U8-MG02,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,Original Unit 8 Assessment Plan
SUM,Mastery Goal,U8-MG03,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,Original Unit 8 Assessment Plan
SUM,Mastery Goal,U8-MG04,"Select and defend an efficient quadratic solution method based on equation structure, accuracy, and fit.",Original Unit 8 Assessment Plan
SUM,Mastery Goal,U8-MG05,"Build and interpret quadratic models, including maximums, minimums, intercepts, and contextually meaningful solutions.",Original Unit 8 Assessment Plan
