version,bank_id,question_family_id,mastery_goal_id,exact_mastery_goal,response_type,representation,estimated_time_sec,source_basis
V1,U8-SUM-V1-Q01,SUM-FACTOR-INTERPRET,U8-MG01,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,constructed/open response,Equation + Graph connection,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V1,U8-SUM-V1-Q02,SUM-FACTOR-CONTEXT,U8-MG01,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,constructed/open response,Context + Factored equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V1,U8-SUM-V1-Q03,SUM-COMPLETE-SOLVE,U8-MG02,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,constructed/open response,Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V1,U8-SUM-V1-Q04,SUM-COMPLETE-VERTEX,U8-MG02,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,constructed/open response,Equation + Graph features,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V1,U8-SUM-V1-Q05,SUM-FORMULA-SOLVE,U8-MG03,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,constructed/open response,Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V1,U8-SUM-V1-Q06,SUM-DISCRIMINANT,U8-MG03,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,constructed/open response,Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V1,U8-SUM-V1-Q07,SUM-METHOD-SELECT,U8-MG04,"Select and defend an efficient quadratic solution method based on equation structure, accuracy, and fit.",constructed/open response,Equation set + Written reasoning,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V1,U8-SUM-V1-Q08,SUM-QUAD-MODEL,U8-MG05,"Build and interpret quadratic models, including maximums, minimums, intercepts, and contextually meaningful solutions.",constructed/open response,Context + Equation + Graph,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V2,U8-SUM-V2-Q01,SUM-COMPLETE-SOLVE,U8-MG02,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,constructed/open response,Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V2,U8-SUM-V2-Q02,SUM-FACTOR-INTERPRET,U8-MG01,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,constructed/open response,Equation + Graph connection,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V2,U8-SUM-V2-Q03,SUM-METHOD-SELECT,U8-MG04,"Select and defend an efficient quadratic solution method based on equation structure, accuracy, and fit.",constructed/open response,Equation set + Written reasoning,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V2,U8-SUM-V2-Q04,SUM-QUAD-MODEL,U8-MG05,"Build and interpret quadratic models, including maximums, minimums, intercepts, and contextually meaningful solutions.",constructed/open response,Context + Equation + Graph,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V2,U8-SUM-V2-Q05,SUM-FORMULA-SOLVE,U8-MG03,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,constructed/open response,Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V2,U8-SUM-V2-Q06,SUM-FACTOR-CONTEXT,U8-MG01,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,constructed/open response,Context + Factored equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V2,U8-SUM-V2-Q07,SUM-DISCRIMINANT,U8-MG03,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,constructed/open response,Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V2,U8-SUM-V2-Q08,SUM-COMPLETE-VERTEX,U8-MG02,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,constructed/open response,Equation + Graph features,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
