Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,A quantity increases by 10% each period. What is the growth factor?,1.1,0.1,0.95,1.05,30,1
2,A quantity increases by 15% each period. What is the growth factor?,0.15,0.93,1.07,1.15,30,4
3,A quantity increases by 20% each period. What is the growth factor?,0.2,0.9,1.2,1.1,30,3
4,A quantity increases by 25% each period. What is the growth factor?,0.25,1.25,0.88,1.12,30,2
5,A quantity increases by 30% each period. What is the growth factor?,1.3,0.3,0.85,1.15,30,1
6,A quantity increases by 35% each period. What is the growth factor?,0.35,0.82,1.18,1.35,30,4
7,A quantity increases by 40% each period. What is the growth factor?,0.4,0.8,1.4,1.2,30,3
8,A quantity increases by 45% each period. What is the growth factor?,0.45,1.45,0.78,1.23,30,2
9,A quantity increases by 50% each period. What is the growth factor?,1.5,0.5,0.75,1.25,30,1
10,A quantity increases by 60% each period. What is the growth factor?,0.6,0.7,1.3,1.6,30,4
11,An exponential pattern multiplies by 0.4 each step. Is it growth or decay?,growth,linear,decay,quadratic,30,3
12,An exponential pattern multiplies by 0.55 each step. Is it growth or decay?,growth,decay,linear,quadratic,30,2
13,An exponential pattern multiplies by 0.7 each step. Is it growth or decay?,decay,growth,linear,quadratic,30,1
14,An exponential pattern multiplies by 0.85 each step. Is it growth or decay?,growth,linear,quadratic,decay,30,4
15,An exponential pattern multiplies by 1.1 each step. Is it growth or decay?,decay,linear,growth,quadratic,30,3
16,An exponential pattern multiplies by 1.25 each step. Is it growth or decay?,decay,growth,linear,quadratic,30,2
17,An exponential pattern multiplies by 1.5 each step. Is it growth or decay?,growth,decay,linear,quadratic,30,1
18,An exponential pattern multiplies by 1.8 each step. Is it growth or decay?,decay,linear,quadratic,growth,30,4
19,An exponential pattern multiplies by 2 each step. Is it growth or decay?,decay,linear,growth,quadratic,30,3
20,An exponential pattern multiplies by 3 each step. Is it growth or decay?,decay,growth,linear,quadratic,30,2
